t_sec,nBack,number,expectedResponse,actualResponse
164.8308,0,6,0,0
166.9469,0,0,1,1
169.0409,0,0,1,1
171.1603,0,2,0,0
173.2802,0,2,0,0
175.3157,0,0,1,1
177.3919,0,0,1,1
179.5087,0,1,0,0
181.6254,0,9,0,0
183.7439,0,1,0,0
185.8612,0,8,0,0
188.021,0,0,1,1
190.1392,0,1,0,0
192.2553,0,3,0,0
194.372,0,8,0,0
196.4907,0,8,0,0
198.6322,0,0,1,1
200.6796,0,0,1,1
202.7951,0,3,0,0
204.91,0,4,0,0
207.0271,0,5,0,0
209.146,0,6,0,0
211.2659,0,0,1,1
213.3132,0,0,1,1
215.43,0,7,0,0
217.5466,0,9,0,0
219.6204,0,0,1,1
221.7368,0,8,0,0
223.8531,0,5,0,0
225.9697,0,1,0,0
228.0633,0,0,1,1
230.1203,0,0,1,1
232.2379,0,5,0,0
234.3536,0,5,0,0
236.4693,0,6,0,0
238.5867,0,2,0,0
240.704,0,2,0,0
242.8229,0,5,0,0
244.9359,0,0,1,1
247.052,0,6,0,0
249.1322,0,0,1,1
251.2493,0,3,0,0
253.327,0,0,1,1
255.4464,0,4,0,0
257.5644,0,1,0,0
259.6805,0,8,0,0
261.7977,0,4,0,0
263.9149,0,5,0,0
265.9669,0,0,1,1
268.0859,0,3,0,0
270.2041,0,9,0,0
272.3212,0,2,0,0
274.4374,0,6,0,0
276.5449,0,0,1,1
278.663,0,5,0,0
280.7292,0,0,1,1
282.8459,0,7,0,0
284.908,0,0,1,1
287.0261,0,7,0,0
289.1462,0,1,0,0
291.2654,0,4,0,0
293.3835,0,3,0,0
295.5021,0,2,0,0
297.6194,0,0,1,1
299.7377,0,7,0,0
301.857,0,1,0,0
303.9471,0,0,1,1
306.0653,0,2,0,0
308.1856,0,4,0,0
310.3036,0,6,0,0
312.4197,0,1,0,0
314.538,0,8,0,0
316.6548,0,6,0,0
318.7712,0,5,0,0
320.8912,0,5,0,0
323.0076,0,7,0,0
325.1241,0,8,0,0
327.2421,0,2,0,0
329.3432,0,0,1,1
331.4219,0,0,1,1
333.5385,0,4,0,0
335.6499,0,0,1,1
337.7478,0,0,1,1
339.8662,0,2,0,0
341.9831,0,2,0,0
344.1013,0,9,0,0
346.1692,0,0,1,1
348.286,0,6,0,0
350.3334,0,0,1,1
352.4576,0,0,1,1
354.575,0,5,0,0
356.6221,0,0,1,1
358.7406,0,4,0,0
360.7895,0,0,1,1
362.9078,0,4,0,0
364.9797,0,0,1,1
367.096,0,4,0,0
369.1945,0,0,1,1
371.309,0,9,0,0
373.4231,0,9,0,0
405.6648,1,7,0,0
407.7849,1,6,0,0
409.9038,1,3,0,0
412.0204,1,2,0,0
414.1591,1,2,1,1
416.2759,1,3,0,0
418.3962,1,4,0,0
420.4822,1,4,1,1
422.5965,1,3,0,0
424.7295,1,3,1,1
426.8492,1,6,0,0
428.9677,1,3,0,0
431.0881,1,1,0,0
433.1434,1,1,1,1
435.2604,1,7,0,0
437.397,1,7,1,1
439.5128,1,9,0,0
441.6306,1,1,0,0
443.7511,1,5,0,0
445.8666,1,3,0,0
447.9843,1,8,0,0
450.0154,1,8,1,1
452.1324,1,2,0,0
454.2483,1,8,0,0
456.2823,1,8,1,1
458.4156,1,8,1,1
460.5414,1,8,1,1
462.6751,1,8,1,1
464.7919,1,4,0,0
466.877,1,4,1,1
468.9465,1,4,1,1
471.0787,1,4,1,1
473.1973,1,3,0,0
475.2712,1,3,1,1
477.386,1,4,0,0
479.5117,1,3,0,0
481.6303,1,8,0,0
483.7471,1,7,0,0
485.7986,1,7,1,1
487.9141,1,2,0,0
490.0381,1,2,1,1
492.1578,1,9,0,0
494.2762,1,7,0,0
496.357,1,7,1,1
498.41,1,7,1,1
500.5259,1,8,0,0
502.5798,1,8,1,1
504.6534,1,8,1,1
506.7271,1,8,1,1
508.8469,1,6,0,0
510.9698,1,6,1,1
513.0869,1,9,0,0
515.1577,1,9,1,1
517.2764,1,6,0,0
519.3644,1,6,1,1
521.4808,1,8,0,0
523.5798,1,8,1,1
525.697,1,3,0,0
527.8129,1,7,0,0
529.9298,1,8,0,0
532.0007,1,8,1,1
534.122,1,0,0,0
536.2363,1,1,0,0
538.381,1,1,1,1
540.4896,1,1,1,1
542.5865,1,1,1,1
544.7024,1,7,0,0
546.8177,1,6,0,0
548.9481,1,6,1,1
551.0686,1,4,0,0
553.1873,1,7,0,0
555.2465,1,7,1,1
557.2944,1,7,1,1
559.372,1,7,1,1
561.4899,1,1,0,0
563.6049,1,3,0,0
565.7193,1,3,1,1
567.8385,1,9,0,0
569.9824,1,9,1,1
572.1017,1,3,0,0
574.2199,1,8,0,0
576.3376,1,4,0,0
578.3992,1,4,1,1
580.517,1,7,0,0
582.6361,1,0,0,0
584.7563,1,7,0,0
586.8743,1,5,0,0
588.9915,1,2,0,0
591.049,1,2,1,1
593.1334,1,2,1,1
595.2137,1,2,1,1
597.3323,1,3,0,0
599.4491,1,5,0,0
601.5671,1,1,0,0
603.6456,1,1,1,1
605.7637,1,6,0,0
607.8813,1,5,0,0
609.9326,1,5,1,1
612.0485,1,1,0,0
614.1786,1,1,1,1
646.5225,2,2,0,0
648.6402,2,6,0,0
650.7592,2,4,0,0
652.8465,2,6,1,1
654.9058,2,4,1,1
657.024,2,8,0,0
659.1412,2,0,0,0
661.2563,2,4,0,0
663.4171,2,0,1,1
665.533,2,5,0,0
667.6824,2,0,1,1
669.795,2,5,1,1
671.8784,2,0,1,1
673.9721,2,5,1,1
676.092,2,6,0,0
678.2102,2,3,0,0
680.3286,2,0,0,0
682.4107,2,3,1,1
684.5272,2,1,0,0
686.6439,2,8,0,0
688.7154,2,1,1,1
690.8318,2,6,0,0
692.9493,2,3,0,0
695.0663,2,8,0,0
697.2062,2,3,1,1
699.327,2,8,1,1
701.4539,2,3,1,1
703.5732,2,0,0,0
705.6912,2,6,0,0
707.7802,2,0,1,1
709.896,2,3,0,0
711.9431,2,0,1,1
714.0602,2,5,0,0
716.1787,2,6,0,0
718.2963,2,0,0,0
720.4141,2,4,0,0
722.528,2,5,0,0
724.6439,2,6,0,0
726.7158,2,5,1,1
728.8167,2,6,1,1
730.9427,2,5,1,1
733.0943,2,6,1,1
735.2092,2,4,0,0
737.3246,2,3,0,0
739.4316,2,4,1,1
741.5481,2,6,0,0
743.6647,2,5,0,0
745.7832,2,5,0,0
747.9182,2,5,1,1
750.0377,2,6,0,0
752.1569,2,1,0,0
754.2744,2,8,0,0
756.3658,2,1,1,1
758.4717,2,8,1,1
760.5292,2,1,1,1
762.5812,2,8,1,1
764.6986,2,2,0,0
766.818,2,3,0,0
768.9343,2,6,0,0
771.0518,2,9,0,0
773.1711,2,2,0,0
775.2894,2,8,0,0
777.3579,2,2,1,1
779.4019,2,8,1,1
781.5163,2,9,0,0
783.6313,2,2,0,0
785.7502,2,8,0,0
787.8164,2,9,0,1
789.9349,2,1,0,0
792.0468,2,9,1,1
794.1627,2,2,0,0
796.2776,2,8,0,0
798.3403,2,2,1,1
800.4599,2,1,0,0
802.5803,2,5,0,0
804.6952,2,5,0,0
806.8129,2,8,0,0
808.9744,2,5,1,1
811.0923,2,5,0,0
813.1782,2,5,1,1
815.2936,2,3,0,0
817.4058,2,7,0,0
819.5302,2,4,0,0
821.647,2,8,0,0
823.7639,2,2,0,0
825.8574,2,8,1,1
827.9954,2,2,1,1
830.1126,2,6,0,0
832.2284,2,9,0,0
834.2856,2,6,1,1
836.403,2,8,0,0
838.519,2,3,0,0
840.6481,2,8,1,1
842.7648,2,7,0,0
844.855,2,8,1,1
846.9885,2,7,1,1
849.1048,2,9,0,0
851.2186,2,8,0,1
853.3348,2,3,0,0
855.4514,2,2,0,0
887.777,3,6,0,0
889.8952,3,7,0,0
892.0139,3,2,0,0
894.1308,3,4,0,0
896.2155,3,7,1,1
898.3342,3,5,0,0
900.3858,3,4,1,1
902.5045,3,2,0,0
904.6204,3,4,0,0
906.7342,3,4,1,0
908.8522,3,4,0,0
910.9097,3,4,1,1
912.9634,3,4,1,1
915.0792,3,7,0,0
917.2051,3,4,1,1
919.3259,3,3,0,0
921.4404,3,7,1,1
923.5741,3,4,1,1
925.6941,3,8,0,0
927.814,3,2,0,0
929.9338,3,1,0,0
932.0528,3,3,0,0
934.1707,3,6,0,0
936.2857,3,7,0,0
938.3994,3,8,0,0
940.5251,3,6,1,1
942.5983,3,8,0,1
944.7162,3,8,1,0
946.834,3,7,0,0
948.9506,3,9,0,0
951.0364,3,8,1,1
953.1536,3,8,0,0
955.2518,3,9,1,1
957.3892,3,8,1,1
959.5001,3,8,1,1
961.6183,3,5,0,0
963.7372,3,5,0,0
965.8547,3,1,0,0
967.9739,3,2,0,0
970.0875,3,3,0,0
972.2028,3,1,1,0
974.3194,3,4,0,0
976.4363,3,5,0,0
978.5541,3,7,0,0
980.6731,3,1,0,0
982.7941,3,4,0,0
984.9138,3,9,0,0
986.9892,3,1,1,1
989.1039,3,4,1,1
991.2224,3,7,0,0
993.3397,3,0,0,0
995.4571,3,2,0,0
997.5765,3,8,0,0
999.6945,3,7,0,0
1001.811,3,3,0,0
1003.942,3,8,1,1
1006.059,3,2,0,0
1008.176,3,3,1,0
1010.293,3,8,1,0
1012.408,3,2,1,1
1014.528,3,7,0,0
1016.642,3,0,0,0
1018.759,3,3,0,0
1020.875,3,5,0,0
1022.972,3,0,1,1
1025.09,3,2,0,0
1027.207,3,1,0,0
1029.324,3,6,0,0
1031.402,3,2,1,1
1033.52,3,7,0,0
1035.639,3,6,1,0
1037.756,3,6,0,0
1039.874,3,2,0,0
1041.982,3,6,1,1
1044.067,3,6,1,1
1046.16,3,2,1,1
1048.275,3,2,0,0
1050.392,3,6,1,0
1052.465,3,2,1,1
1054.557,3,2,1,1
1056.67,3,4,0,0
1058.785,3,2,1,0
1060.902,3,2,1,0
1062.953,3,4,1,1
1065.073,3,3,0,0
1067.191,3,6,0,0
1069.304,3,5,0,0
1071.424,3,8,0,0
1073.542,3,1,0,0
1075.688,3,5,1,1
1077.801,3,8,1,1
1079.917,3,1,1,0
1082.035,3,4,0,0
1084.153,3,2,0,0
1086.269,3,3,0,0
1088.381,3,4,1,1
1090.477,3,3,0,1
1092.593,3,2,0,0
1094.711,3,2,0,0
1096.817,3,3,1,1
