t_sec,nBack,number,expectedResponse,actualResponse
172.3851,0,2,0,0
174.5001,0,3,0,0
176.6161,0,7,0,0
178.7383,0,0,1,1
180.8676,0,2,0,0
182.9834,0,9,0,0
185.0891,0,0,1,1
187.1366,0,0,1,1
189.1754,0,0,1,1
191.2893,0,1,0,0
193.41,0,4,0,0
195.5229,0,9,0,0
197.6328,0,8,0,0
199.746,0,7,0,0
201.8712,0,0,1,1
203.9814,0,4,0,0
206.0902,0,1,0,0
208.1645,0,0,1,1
210.2776,0,7,0,0
212.3896,0,1,0,0
214.4598,0,0,1,1
216.5699,0,3,0,0
218.6356,0,0,1,1
220.7458,0,1,0,0
222.8585,0,2,0,0
224.9693,0,6,0,0
227.0795,0,6,0,0
229.1925,0,8,0,0
231.3028,0,5,0,0
233.413,0,9,0,0
235.5315,0,7,0,0
237.6407,0,2,0,0
239.7687,0,0,1,1
241.8814,0,1,0,0
243.996,0,9,0,0
246.1267,0,0,1,1
248.2566,0,0,1,1
250.3049,0,0,1,1
252.4158,0,3,0,0
254.5281,0,3,0,0
256.6404,0,6,0,0
258.7199,0,0,1,1
260.8305,0,4,0,0
262.9415,0,8,0,0
265.0539,0,8,0,0
267.1558,0,0,1,1
269.2549,0,0,1,1
271.3514,0,0,1,1
273.481,0,0,1,1
275.5909,0,3,0,0
277.7015,0,7,0,0
279.8096,0,4,0,0
281.899,0,0,1,1
283.9523,0,0,1,1
286.0652,0,8,0,0
288.1736,0,3,0,0
290.2891,0,2,0,0
292.3825,0,0,1,1
294.4336,0,0,1,1
296.5451,0,1,0,0
298.6201,0,0,1,1
300.7334,0,6,0,0
302.8468,0,4,0,0
304.9158,0,0,1,1
306.9784,0,0,1,1
309.0829,0,0,1,1
311.1927,0,7,0,0
313.3078,0,2,0,0
315.4214,0,5,0,0
317.5333,0,7,0,0
319.6691,0,0,1,1
321.7105,0,0,1,1
323.8145,0,0,1,1
325.863,0,0,1,1
327.911,0,0,1,1
330.022,0,6,0,0
332.09,0,0,1,1
334.1996,0,9,0,0
336.3117,0,8,0,0
338.4239,0,1,0,0
340.5368,0,1,0,0
342.6457,0,9,0,0
344.7543,0,8,0,0
346.8646,0,5,0,0
348.9761,0,4,0,0
351.072,0,0,1,1
353.165,0,0,1,1
355.2833,0,0,1,1
357.3962,0,4,0,0
359.5082,0,1,0,0
361.574,0,0,1,1
363.6872,0,4,0,0
365.7898,0,0,1,1
367.9014,0,9,0,0
370.0151,0,3,0,0
372.1261,0,2,0,0
374.238,0,1,0,0
376.3496,0,3,0,0
378.4612,0,0,1,1
380.5487,0,0,1,1
412.8999,1,5,0,0
414.9917,1,5,1,1
417.1429,1,5,1,1
419.2522,1,5,1,1
421.3624,1,1,0,0
423.486,1,5,0,0
425.5981,1,8,0,0
427.7115,1,7,0,0
429.8222,1,4,0,0
431.8904,1,4,1,1
433.9891,1,4,1,1
436.1,1,9,0,0
438.2104,1,8,0,0
440.3228,1,5,0,0
442.4352,1,9,0,0
444.5482,1,8,0,0
446.6228,1,8,1,1
448.7355,1,2,0,0
450.8493,1,1,0,0
452.9794,1,1,1,1
455.0936,1,3,0,0
457.2075,1,2,0,0
459.3169,1,1,0,0
461.4278,1,2,0,0
463.5402,1,3,0,0
465.6536,1,1,0,0
467.7668,1,4,0,0
469.8831,1,8,0,0
471.9954,1,2,0,0
474.1052,1,1,0,0
476.2244,1,1,1,1
478.3663,1,1,1,1
480.4744,1,2,0,0
482.5956,1,2,1,1
484.7063,1,8,0,0
486.8625,1,8,1,1
488.9733,1,1,0,0
491.0831,1,7,0,0
493.1944,1,1,0,0
495.2801,1,1,1,1
497.3924,1,4,0,0
499.5052,1,7,0,0
501.6152,1,3,0,0
503.755,1,3,1,1
505.8772,1,3,1,1
507.9884,1,1,0,0
510.0974,1,5,0,0
512.2166,1,5,1,1
514.3291,1,8,0,0
516.4507,1,8,1,1
518.5632,1,3,0,0
520.6732,1,7,0,0
522.7863,1,4,0,0
524.9179,1,4,1,1
527.0287,1,9,0,0
529.1441,1,2,0,0
531.222,1,2,1,1
533.3318,1,9,0,0
535.4403,1,7,0,0
537.5531,1,0,0,0
539.6245,1,0,1,1
541.7371,1,6,0,0
543.8503,1,1,0,0
545.9627,1,7,0,0
548.1165,1,7,1,1
550.2213,1,7,1,1
552.3711,1,7,1,1
554.4802,1,1,0,0
556.5908,1,6,0,0
558.7025,1,2,0,0
560.815,1,0,0,0
562.9155,1,0,1,1
565.0258,1,5,0,0
567.0823,1,5,1,1
569.1844,1,5,1,1
571.3225,1,5,1,1
573.4332,1,8,0,0
575.545,1,3,0,0
577.683,1,3,1,1
579.8051,1,3,1,1
581.916,1,7,0,0
584.0289,1,8,0,0
586.139,1,5,0,0
588.2087,1,5,1,1
590.2827,1,5,1,1
592.388,1,5,1,1
594.4984,1,3,0,0
596.6109,1,5,0,0
598.7218,1,2,0,0
600.8339,1,5,0,0
602.9465,1,8,0,0
605.0729,1,8,1,1
607.1405,1,8,1,1
609.252,1,3,0,0
611.3285,1,3,1,1
613.4393,1,9,0,0
615.5547,1,2,0,0
617.6839,1,2,1,1
619.7975,1,5,0,0
621.9111,1,2,0,0
654.1568,2,6,0,0
656.2708,2,9,0,0
658.3799,2,5,0,0
660.4894,2,7,0,0
662.5376,2,5,1,1
664.6495,2,1,0,0
666.7635,2,8,0,0
668.8774,2,5,0,0
670.9898,2,5,0,0
673.0997,2,4,0,0
675.2147,2,4,0,0
677.3282,2,2,0,0
679.4149,2,4,1,1
681.517,2,2,1,1
683.6305,2,5,0,0
685.781,2,2,1,1
687.89,2,2,0,0
690.0251,2,2,1,1
692.1368,2,5,0,0
694.2469,2,3,0,0
696.3592,2,0,0,0
698.4583,2,3,1,1
700.583,2,0,1,1
702.6972,2,8,0,0
704.8086,2,6,0,0
706.919,2,2,0,0
708.9719,2,6,1,1
711.1131,2,2,1,1
713.2238,2,0,0,0
715.3408,2,4,0,0
717.4677,2,6,0,0
719.5305,2,4,1,1
721.6425,2,1,0,0
723.7551,2,1,0,0
725.8985,2,1,1,1
728.0097,2,4,0,0
730.1155,2,1,1,1
732.227,2,3,0,0
734.3411,2,6,0,0
736.4553,2,0,0,0
738.5679,2,4,0,0
740.6784,2,3,0,0
742.77,2,4,1,1
744.8553,2,3,1,1
746.9659,2,9,0,0
749.0718,2,5,0,0
751.2187,2,9,1,1
753.3532,2,5,1,1
755.4664,2,0,0,0
757.5771,2,1,0,0
759.6875,2,7,0,0
761.8423,2,1,1,1
763.9537,2,8,0,0
766.0698,2,9,0,0
768.1836,2,7,0,0
770.2975,2,4,0,0
772.4109,2,6,0,0
774.5215,2,2,0,0
776.6345,2,6,1,0
778.7666,2,6,0,1
780.8807,2,0,0,0
782.9935,2,6,1,0
785.1057,2,4,0,0
787.218,2,1,0,0
789.2913,2,4,1,1
791.3395,2,1,1,1
793.4497,2,8,0,0
795.5624,2,9,0,0
797.6157,2,8,1,1
799.7247,2,2,0,0
801.8353,2,6,0,0
803.9107,2,2,1,1
806.0355,2,6,1,1
808.1471,2,6,0,0
810.2615,2,3,0,0
812.3737,2,2,0,0
814.4833,2,4,0,0
816.5875,2,2,1,1
818.6841,2,4,1,1
820.7953,2,7,0,0
822.9081,2,7,0,0
825.0168,2,0,0,0
827.1283,2,2,0,0
829.2285,2,0,1,1
