t_sec,O11_muM,O12_muM,O21_muM,O23_muM,O32_muM,O33_muM,O34_muM,O42_muM,O44_muM,O45_muM,O53_muM,O54_muM,O56_muM,O64_muM,O65_muM,O66_muM,O75_muM,O77_muM,O86_muM,O87_muM,D11_muM,D12_muM,D21_muM,D23_muM,D32_muM,D33_muM,D34_muM,D42_muM,D44_muM,D45_muM,D53_muM,D54_muM,D56_muM,D64_muM,D65_muM,D66_muM,D75_muM,D77_muM,D86_muM,D87_muM
1.569626,-2.061699,-2.00785,-1.676199,-1.882542,-2.211763,-1.04465,-1.934959,-0.6744842,-0.9962156,-1.61198,-2.908708,-1.57838,-2.754636,-2.104668,-1.898704,-2.107521,-1.431534,-0.9480372,-3.677379,-1.827545,0.5584078,0.1344843,1.250593,0.9179541,0.3374064,1.059995,0.477958,0.5109496,0.6823854,0.4479836,0.8807481,0.9363933,0.4740841,0.4577747,0.6725544,1.061515,0.5115288,0.7979879,0.8067574,1.529327
1.697625,-2.055818,-1.993749,-1.694639,-1.901839,-2.244075,-1.064383,-1.977545,-0.6909648,-0.9884896,-1.630847,-2.946472,-1.603405,-2.837699,-2.173841,-1.92018,-2.245498,-1.443598,-1.014552,-3.806926,-1.881011,0.5627682,0.1326555,1.249633,0.9158487,0.3386934,1.059525,0.4695288,0.516091,0.6611701,0.4645554,0.8806029,0.9345672,0.4680485,0.4477004,0.6408123,1.062295,0.5081989,0.8180919,0.800424,1.53896
1.825625,-2.116413,-2.008864,-1.753887,-1.961743,-2.338264,-1.143728,-2.087488,-0.7295702,-1.079219,-1.647959,-3.044391,-1.670687,-3.005757,-2.301184,-1.991633,-2.456685,-1.48513,-1.03768,-3.992857,-1.936754,0.5628856,0.1346029,1.252085,0.9169282,0.3450117,1.061721,0.4621731,0.5229821,0.6723134,0.4605108,0.8822054,0.9300381,0.4599645,0.4336885,0.6356404,1.065984,0.5104442,0.8106112,0.796365,1.537662
1.953624,-2.176705,-2.055246,-1.854518,-2.035136,-2.435227,-1.233455,-2.20134,-0.7365458,-1.13944,-1.686267,-3.155622,-1.751276,-3.150064,-2.425048,-2.086044,-2.718731,-1.531525,-1.082036,-4.153544,-2.023286,0.5589309,0.1336401,1.258916,0.9192854,0.3422375,1.062684,0.4547537,0.5100399,0.6863921,0.4571394,0.8795134,0.9219245,0.4645005,0.4285178,0.6402203,1.065507,0.5114884,0.8187612,0.7955783,1.542704
2.081623,-2.253481,-2.121616,-1.923146,-2.11545,-2.537722,-1.343123,-2.339587,-0.7940572,-1.192849,-1.732461,-3.273742,-1.872196,-3.311048,-2.54301,-2.199466,-2.94476,-1.585375,-1.147063,-4.335442,-2.124805,0.5565161,0.1353164,1.253423,0.918468,0.3450198,1.063941,0.4598819,0.519152,0.654639,0.4567704,0.8807124,0.9328596,0.4626299,0.4203134,0.6552235,1.06133,0.5130982,0.8168495,0.8058007,1.557751
2.209622,-2.363629,-2.175557,-2.012598,-2.204486,-2.635881,-1.4528,-2.464468,-0.8527673,-1.262589,-1.78092,-3.401603,-1.983202,-3.507971,-2.671516,-2.290448,-3.179808,-1.643367,-1.189181,-4.475403,-2.203435,0.5618504,0.1370128,1.256333,0.9258478,0.3424601,1.063768,0.4512168,0.5245268,0.6431599,0.4437603,0.88283,0.930469,0.4607025,0.4169794,0.6272849,1.06812,0.5116664,0.813322,0.8051407,1.551392
2.337621,-2.422665,-2.206877,-2.028502,-2.190977,-2.495883,-1.328059,-2.295628,-0.7979673,-1.158852,-1.751395,-3.204466,-1.790757,-3.103738,-2.325506,-2.048907,-2.502519,-1.53224,-1.070842,-3.885007,-1.926655,0.5544021,0.1389623,1.243649,0.9285066,0.3465825,1.071937,0.4713448,0.5053138,0.6612771,0.4475372,0.8861674,0.9198005,0.4716841,0.4416458,0.6497076,1.076204,0.5125098,0.8149341,0.8041468,1.538187
2.46562,-2.202626,-2.065392,-1.76826,-1.963208,-2.232292,-1.062406,-1.896675,-0.6829084,-0.9568916,-1.644581,-2.912728,-1.541219,-2.752628,-2.02198,-1.818602,-1.971158,-1.435212,-0.9803602,-3.650649,-1.776136,0.5935449,0.1367617,1.248207,0.9243003,0.3489073,1.067427,0.4643683,0.5106272,0.6590536,0.4567756,0.8880013,0.9265671,0.4773655,0.460606,0.6526479,1.066085,0.5138862,0.8262494,0.798108,1.535636
2.59362,-2.004026,-1.971391,-1.643733,-1.872455,-2.175871,-0.9787738,-1.822042,-0.6411634,-0.9464995,-1.592952,-2.871122,-1.518553,-2.710412,-2.047499,-1.830047,-2.050141,-1.426744,-0.9483311,-3.696637,-1.812124,0.5735818,0.1332959,1.251577,0.9269503,0.3505034,1.063835,0.4562672,0.496274,0.659574,0.4499256,0.8822105,0.9258977,0.4739086,0.4524126,0.6472846,1.060056,0.511552,0.8104551,0.800889,1.531755
2.721619,-2.014226,-1.960058,-1.662925,-1.892911,-2.192581,-1.013874,-1.897346,-0.6667189,-0.9629213,-1.57055,-2.909788,-1.54903,-2.773969,-2.128643,-1.870502,-2.181026,-1.440072,-0.9785148,-3.815532,-1.858348,0.5782263,0.1389374,1.255018,0.9284273,0.3383947,1.064417,0.451516,0.501241,0.6650766,0.4398072,0.8745411,0.9167001,0.4685634,0.448697,0.6362677,1.05296,0.5086752,0.8191999,0.8004708,1.540507
