t_sec,nBack,number,expectedResponse,actualResponse
170.5694,0,9,0,0
172.6801,0,0,1,1
174.7958,0,5,0,0
176.9082,0,0,1,1
179.0485,0,0,1,1
181.1602,0,6,0,0
183.2713,0,1,0,0
185.3885,0,8,0,0
187.5005,0,2,0,0
189.6136,0,3,0,0
191.7264,0,5,0,0
193.8379,0,8,0,0
195.9513,0,3,0,0
198.0639,0,6,0,0
200.1776,0,5,0,0
202.2897,0,8,0,0
204.4032,0,1,0,0
206.5161,0,7,0,0
208.6285,0,5,0,0
210.7398,0,6,0,0
212.8522,0,1,0,0
214.965,0,3,0,0
217.0785,0,2,0,0
219.138,0,0,1,1
221.2328,0,0,1,1
223.3439,0,8,0,0
225.4657,0,0,1,1
227.5816,0,8,0,0
229.7191,0,0,1,1
231.795,0,0,1,1
233.9077,0,1,0,0
236.0203,0,6,0,0
238.1345,0,8,0,0
240.2348,0,0,1,1
242.3827,0,0,1,1
244.4942,0,4,0,0
246.6136,0,0,1,1
248.7356,0,0,1,1
250.7875,0,0,1,1
252.8992,0,4,0,0
255.011,0,3,0,0
257.1241,0,2,0,0
259.2382,0,7,0,0
261.3505,0,6,0,0
263.4623,0,6,0,0
265.5752,0,3,0,0
267.644,0,0,1,1
269.7545,0,2,0,0
271.8634,0,7,0,0
273.9782,0,8,0,0
276.091,0,0,1,1
278.1333,0,0,1,1
280.2468,0,1,0,0
282.3588,0,4,0,0
284.4369,0,0,1,1
286.5484,0,2,0,0
288.6384,0,0,1,1
290.749,0,1,0,0
292.9048,0,0,1,1
295.0211,0,0,1,1
297.1307,0,6,0,0
299.2627,0,0,1,1
301.3754,0,7,0,0
303.5161,0,0,1,1
305.6307,0,4,0,0
307.7447,0,6,0,0
309.8578,0,7,0,0
311.9702,0,7,0,0
314.0486,0,0,1,1
316.1594,0,4,0,0
318.2739,0,5,0,0
320.3288,0,0,1,1
322.4392,0,2,0,0
324.526,0,0,1,1
326.6346,0,0,1,1
328.7436,0,4,0,0
330.857,0,7,0,0
332.97,0,3,0,0
335.0841,0,2,0,0
337.2123,0,0,1,1
339.2722,0,0,1,1
341.327,0,0,1,1
343.4403,0,1,0,0
345.5525,0,8,0,0
347.6623,0,4,0,0
349.7736,0,9,0,0
351.8886,0,5,0,0
353.9754,0,0,1,1
356.0889,0,5,0,0
358.2129,0,0,1,1
360.3281,0,5,0,0
362.4413,0,8,0,0
364.5561,0,6,0,0
366.6671,0,1,0,0
368.781,0,4,0,0
370.8906,0,6,0,0
373.0018,0,1,0,0
375.1148,0,4,0,0
377.2253,0,5,0,0
379.2748,0,0,1,1
411.6342,1,8,0,0
413.6948,1,8,1,1
