t_sec,O11_muM,O12_muM,O21_muM,O23_muM,O32_muM,O33_muM,O34_muM,O42_muM,O44_muM,O45_muM,O53_muM,O54_muM,O56_muM,O64_muM,O65_muM,O66_muM,O75_muM,O77_muM,O86_muM,O87_muM,D11_muM,D12_muM,D21_muM,D23_muM,D32_muM,D33_muM,D34_muM,D42_muM,D44_muM,D45_muM,D53_muM,D54_muM,D56_muM,D64_muM,D65_muM,D66_muM,D75_muM,D77_muM,D86_muM,D87_muM
0.07660373,-0.2233569,0.2872672,-0.5657291,-0.2536086,-0.5136697,-0.8717942,-0.9965354,0.4187014,0.04290785,-0.8428876,-0.2553459,-0.4223391,-0.1416493,-1.015234,-0.5361001,-0.807586,0.1189416,-0.2170157,0.4592423,-0.8352626,0.4630088,0.1104271,0.4630981,0.4580079,0.2354122,0.3206744,0.3948791,0.1548843,0.3309247,-0.2807882,0.6030339,0.711235,0.4502716,0.520159,0.4096311,0.3044175,0.2436601,0.5568256,0.6926513,0.7811002
0.2046028,-0.2645502,0.2437525,-0.6377364,-0.3222899,-0.5775369,-0.9642989,-1.102845,0.3858683,-0.02439023,-0.8622789,-0.3171469,-0.4841458,-0.2044012,-1.148172,-0.6467439,-0.915297,0.05577594,-0.2547124,0.3938986,-0.9159719,0.4497774,0.1160144,0.4648329,0.4595063,0.2292441,0.3185287,0.3894217,0.1397312,0.3286537,-0.2779792,0.6028416,0.7121341,0.449324,0.5202368,0.4117655,0.2793327,0.2416786,0.5438824,0.6920156,0.7795035
0.3326019,-0.2753256,0.1961589,-0.7143584,-0.3931466,-0.6559902,-1.050622,-1.205392,0.338254,-0.1101393,-0.8817529,-0.376264,-0.5512826,-0.2615595,-1.268684,-0.7561045,-1.067398,-0.005301057,-0.3445179,0.3320349,-1.004838,0.4398392,0.1152,0.4636167,0.4591011,0.232896,0.3133695,0.3863685,0.1521442,0.3287813,-0.2776224,0.6027124,0.7108864,0.4435141,0.5183661,0.4094197,0.3183939,0.2411384,0.5425493,0.6953002,0.7831973
0.460601,-0.3539221,0.1434241,-0.7608421,-0.4407209,-0.6808904,-1.097354,-1.268143,0.31326,-0.1389041,-0.889303,-0.3622037,-0.539334,-0.2523443,-1.138684,-0.6662338,-0.9625219,0.06071275,-0.2116512,0.4812604,-0.7665737,0.4339812,0.1140404,0.4607099,0.4602105,0.2208531,0.310347,0.3896569,0.1502656,0.3331243,-0.2761917,0.6038582,0.7111163,0.4460057,0.5212096,0.4212364,0.3138155,0.2404593,0.5468138,0.7064947,0.7867286
0.5886001,-0.2109455,0.1816267,-0.5276677,-0.2582445,-0.5139632,-0.8373737,-0.9363555,0.3697434,0.03370093,-0.8531275,-0.2324914,-0.4022859,-0.111396,-0.808758,-0.3816472,-0.689969,0.1562799,-0.08703861,0.6022022,-0.634699,0.4364956,0.1149716,0.4615698,0.4640556,0.2420883,0.3279588,0.4102799,0.1443775,0.3278325,-0.2765679,0.6091655,0.7231453,0.4512134,0.5358575,0.4219473,0.3107814,0.2491929,0.5294799,0.7078375,0.7919252
0.7165992,-0.139558,0.2417349,-0.4251882,-0.1530149,-0.3919741,-0.6897852,-0.7669976,0.4234107,0.1072444,-0.8382509,-0.1727552,-0.341949,-0.06134157,-0.7148318,-0.3080419,-0.5671656,0.1888328,-0.07006826,0.6085668,-0.6357346,0.4434575,0.1138837,0.4605553,0.4619327,0.2535973,0.332474,0.4186738,0.1390672,0.3391904,-0.2737039,0.6069621,0.719601,0.4487682,0.536461,0.4341498,0.3071418,0.2480686,0.5397906,0.7034456,0.7895488
0.8445983,-0.09384768,0.2625569,-0.4361877,-0.1484739,-0.3793353,-0.7013229,-0.7827287,0.4246068,0.1176219,-0.8335424,-0.1712274,-0.346435,-0.06980887,-0.7412741,-0.3211834,-0.5892823,0.2032568,-0.1111437,0.5963839,-0.6599274,0.4232386,0.1122027,0.4585797,0.4516817,0.2421304,0.3293063,0.4128658,0.1484281,0.3269297,-0.2748109,0.6046484,0.7152813,0.4446272,0.5330266,0.4294432,0.3270928,0.2475092,0.5588786,0.700958,0.7896448
0.9725974,-0.1529336,0.265838,-0.4703245,-0.1706935,-0.3892266,-0.7491601,-0.8329752,0.4301774,0.08799245,-0.8402873,-0.2057014,-0.3799316,-0.1028839,-0.8279934,-0.3860687,-0.6481718,0.1788163,-0.1695282,0.5464206,-0.7217703,0.4461164,0.112594,0.4575444,0.4474151,0.2317374,0.3267983,0.4024509,0.1422915,0.3270066,-0.2702079,0.6034946,0.7185259,0.4465272,0.5298735,0.427062,0.2858386,0.2485055,0.5683613,0.6990698,0.7891443
1.100596,-0.1879605,0.2482714,-0.5294646,-0.2226076,-0.4553504,-0.8273323,-0.9266734,0.4076076,0.0290235,-0.8513383,-0.2540136,-0.4290273,-0.148344,-0.9499653,-0.4949238,-0.7502512,0.1412482,-0.1846085,0.4902293,-0.7981808,0.4396116,0.1130907,0.45952,0.444514,0.2454952,0.321461,0.4009183,0.1468297,0.3340444,-0.271189,0.5993139,0.7153283,0.4449052,0.5267622,0.4317277,0.2854872,0.2487002,0.5493832,0.7012343,0.7905428
1.228596,-0.2226914,0.2179309,-0.5996241,-0.283733,-0.5241112,-0.9075146,-1.013943,0.3743894,-0.0404679,-0.8723078,-0.2988713,-0.4808135,-0.2007793,-1.071933,-0.5940335,-0.9207788,0.095212,-0.2701112,0.4333359,-0.8724874,0.4364468,0.1123944,0.4578904,0.4471834,0.2396535,0.3179936,0.3906841,0.154721,0.337808,-0.2764099,0.5990514,0.7127913,0.439545,0.5254914,0.4261419,0.3249137,0.2448492,0.5749931,0.7035242,0.7918457
