t_sec,nBack,number,expectedResponse,actualResponse
171.7685,0,2,0,0
173.878,0,3,0,0
175.9912,0,7,0,0
178.0946,0,0,1,1
180.2168,0,2,0,0
182.3425,0,9,0,0
184.4476,0,0,1,1
186.4997,0,0,1,1
188.6241,0,0,1,1
190.7345,0,1,0,0
192.847,0,4,0,0
194.9575,0,9,0,0
197.069,0,8,0,0
199.1812,0,7,0,0
201.3407,0,0,1,1
203.4541,0,4,0,0
205.5634,0,1,0,0
207.7281,0,0,1,1
209.8361,0,7,0,0
211.9453,0,1,0,0
214.0091,0,0,1,1
216.1178,0,3,0,0
218.1873,0,0,1,1
220.2988,0,1,0,0
222.4091,0,2,0,0
224.5199,0,6,0,0
226.6292,0,6,0,0
228.7397,0,8,0,0
230.8514,0,5,0,0
232.962,0,9,0,0
235.0713,0,7,0,0
237.1801,0,2,0,0
239.2669,0,0,1,1
241.3902,0,1,0,0
243.501,0,9,0,0
245.5974,0,0,1,1
247.7233,0,0,1,1
249.7634,0,0,1,1
251.8726,0,3,0,0
253.9811,0,3,0,0
256.0918,0,6,0,0
258.1626,0,0,1,1
260.2744,0,4,0,0
262.3828,0,8,0,0
264.4925,0,8,0,0
266.5877,0,0,1,1
268.6763,0,0,1,1
270.816,0,0,1,1
272.9275,0,0,1,1
275.0401,0,3,0,0
277.1519,0,7,0,0
279.2636,0,4,0,0
281.3766,0,0,1,1
283.4265,0,0,1,1
285.5347,0,8,0,0
287.6474,0,3,0,0
289.7575,0,2,0,0
291.8426,0,0,1,1
293.9835,0,0,1,1
296.0933,0,1,0,0
298.1536,0,0,1,1
300.2643,0,6,0,0
302.3739,0,4,0,0
304.4515,0,0,1,1
306.5524,0,0,1,1
308.6799,0,0,1,1
310.7902,0,7,0,0
312.8996,0,2,0,0
315.0095,0,5,0,0
317.1219,0,7,0,0
319.1852,0,0,1,1
321.2647,0,0,1,1
323.3637,0,0,1,1
325.4436,0,0,1,1
327.4973,0,0,1,1
329.6082,0,6,0,0
331.6945,0,0,1,1
333.8045,0,9,0,0
335.9152,0,8,0,0
338.0265,0,1,0,0
340.1367,0,1,0,0
342.2457,0,9,0,0
344.3572,0,8,0,0
346.469,0,5,0,0
348.5773,0,4,0,0
350.6672,0,0,1,1
352.715,0,0,1,1
354.8055,0,0,1,1
356.9138,0,4,0,0
359.0263,0,1,0,0
361.1089,0,0,1,1
363.2192,0,4,0,0
365.2658,0,0,1,1
367.3762,0,9,0,0
369.4855,0,3,0,0
371.5956,0,2,0,0
373.7074,0,1,0,0
375.8189,0,3,0,0
377.922,0,0,1,1
380.0441,0,0,1,1
412.2849,1,5,0,0
