t_sec,O11_muM,O12_muM,O21_muM,O23_muM,O32_muM,O33_muM,O34_muM,O42_muM,O44_muM,O45_muM,O53_muM,O54_muM,O56_muM,O64_muM,O65_muM,O66_muM,O75_muM,O77_muM,O86_muM,O87_muM,D11_muM,D12_muM,D21_muM,D23_muM,D32_muM,D33_muM,D34_muM,D42_muM,D44_muM,D45_muM,D53_muM,D54_muM,D56_muM,D64_muM,D65_muM,D66_muM,D75_muM,D77_muM,D86_muM,D87_muM
0.02613209,-1.087947,0.1936097,-1.389411,-1.921912,-0.01340587,-1.306012,-0.9755549,0.222475,-0.2414709,-0.992294,-0.5002992,-1.535148,-1.404536,-1.818108,-1.387637,-1.86488,-1.498238,-1.456239,-2.193865,-0.9887674,0.9899685,0.6979949,1.4986,0.4645749,0.8221415,1.034152,0.8557931,0.5545626,0.6527691,0.2762526,1.05622,0.9582198,0.6317957,0.5638609,0.513604,1.098249,0.3672656,0.526834,0.9102122,1.221703
0.1541313,-1.199098,0.1159223,-1.434456,-2.022235,-0.09505446,-1.429678,-1.042789,0.1446585,-0.3119426,-1.052409,-0.6593629,-1.638417,-1.542587,-1.95353,-1.627284,-2.081397,-1.583077,-1.582529,-2.35389,-1.075106,0.9884409,0.6932773,1.493527,0.462422,0.8235214,1.040486,0.8608181,0.5560329,0.6552036,0.2811909,1.053759,0.9604545,0.6291497,0.5575167,0.5502839,1.092503,0.3621343,0.5302387,0.90797,1.229443
0.2821305,-1.278926,0.03196789,-1.492807,-2.128028,-0.1728464,-1.544369,-1.102895,0.07419548,-0.3651778,-1.107553,-0.8105406,-1.748054,-1.650483,-2.081829,-1.681531,-2.30142,-1.671391,-1.7225,-2.510682,-1.157316,0.9951118,0.6913914,1.494693,0.4610919,0.8166482,1.038934,0.8634905,0.5530049,0.6541346,0.2800421,1.049835,0.9601697,0.5963221,0.5535378,0.4675311,1.094284,0.3561574,0.5174881,0.907376,1.232436
0.4101296,-1.348945,-0.05179302,-1.556647,-2.240103,-0.2812673,-1.667804,-1.18649,-0.009018461,-0.4401335,-1.18003,-0.9617006,-1.847242,-1.750016,-2.208776,-1.818853,-2.492638,-1.713197,-1.681529,-2.381576,-1.127314,0.9948826,0.6869642,1.493329,0.4585706,0.8184692,1.038209,0.8706046,0.5484449,0.6536829,0.281509,1.049094,0.9666753,0.5911821,0.5422264,0.4877872,1.091272,0.3579983,0.5040656,0.9128762,1.216434
0.5381288,-1.255904,0.03571975,-1.450926,-2.075446,-0.09477074,-1.422328,-0.9935949,0.1568953,-0.2497842,-1.093439,-0.4466906,-1.527833,-1.306687,-1.647986,-1.330659,-1.558939,-1.39857,-1.242009,-1.876751,-0.8586697,0.9837154,0.6920738,1.497838,0.4617635,0.8245303,1.043772,0.8668301,0.5643204,0.6545365,0.2762581,1.063856,0.9740691,0.6386601,0.5786008,0.5431997,1.105382,0.3755469,0.5643445,0.9137587,1.213878
0.666128,-1.053285,0.2172209,-1.348473,-1.814297,0.06108123,-1.164274,-0.8426885,0.2839605,-0.1181435,-1.000675,-0.2275259,-1.342846,-1.082995,-1.51288,-1.125433,-1.379702,-1.320213,-1.151622,-1.825389,-0.8329756,1.013319,0.6969068,1.492122,0.4705985,0.8220894,1.043229,0.8484706,0.5693017,0.6604363,0.2867604,1.064935,0.9656375,0.6184369,0.5913761,0.5239795,1.10215,0.3793781,0.5396243,0.9083908,1.218122
0.7941272,-0.9870188,0.2634837,-1.319895,-1.786319,0.07268228,-1.161622,-0.8509797,0.3007624,-0.1220742,-0.9749211,-0.2566444,-1.361426,-1.150187,-1.543754,-1.144248,-1.449402,-1.336211,-1.200896,-1.863914,-0.8502436,0.9792192,0.6968771,1.489434,0.470882,0.8249397,1.039085,0.8390014,0.5668608,0.6567938,0.2819915,1.060704,0.9575101,0.6234537,0.5817009,0.5322172,1.099117,0.381981,0.5454805,0.908485,1.215172
0.9221264,-0.9934914,0.2625762,-1.352169,-1.808172,0.06190491,-1.203599,-0.8840731,0.2946502,-0.1440547,-0.975846,-0.3437454,-1.415845,-1.248035,-1.626081,-1.27716,-1.612406,-1.38279,-1.317257,-2.005892,-0.9156872,0.9771022,0.6962027,1.501107,0.4724743,0.8220429,1.040156,0.8389657,0.5582532,0.6570078,0.2834062,1.058027,0.9614505,0.6331183,0.5876841,0.5156743,1.100098,0.3739097,0.5429454,0.9095324,1.221216
1.050125,-1.023684,0.193992,-1.38755,-1.894827,-0.005652009,-1.308726,-0.9565492,0.2268585,-0.1921505,-0.9891672,-0.4899562,-1.49691,-1.353616,-1.74864,-1.417802,-1.815584,-1.467851,-1.471304,-2.146789,-0.9866403,0.9779202,0.6920177,1.489628,0.4746248,0.8155971,1.03996,0.8367598,0.5626597,0.6575154,0.2665274,1.05286,0.9586036,0.6106359,0.5798826,0.5315209,1.090493,0.3736764,0.5310466,0.9038833,1.217838
1.178125,-1.152125,0.116041,-1.426991,-1.993614,-0.08304998,-1.432157,-1.021898,0.1684497,-0.2643273,-1.056155,-0.6390009,-1.5997,-1.510356,-1.886906,-1.541085,-2.032406,-1.545434,-1.557908,-2.308519,-1.058911,0.9834813,0.691568,1.488446,0.4683894,0.8154445,1.0423,0.8407862,0.5557438,0.6614348,0.283729,1.048804,0.960617,0.6308284,0.5748313,0.5134283,1.08742,0.3623538,0.5238906,0.9035919,1.223849
