t_sec,nBack,number,expectedResponse,actualResponse
166.0575,0,9,0,1
168.1914,0,0,1,1
170.3044,0,5,0,0
172.4038,0,0,1,1
174.4574,0,0,1,1
176.5673,0,6,0,0
178.6792,0,1,0,0
180.7928,0,8,0,0
182.9034,0,2,0,0
185.0146,0,3,0,0
187.129,0,5,0,0
189.2397,0,8,0,0
191.3516,0,3,0,0
193.464,0,6,0,0
195.582,0,5,0,0
197.6947,0,8,0,0
199.8031,0,1,0,0
201.9124,0,7,0,0
204.0251,0,5,0,0
206.1362,0,6,0,0
208.2494,0,1,0,0
210.3616,0,3,0,0
212.4727,0,2,0,0
214.5452,0,0,1,1
216.6709,0,0,1,1
218.7826,0,8,0,0
220.8615,0,0,1,1
222.9716,0,8,0,0
225.0551,0,0,1,1
227.1789,0,0,1,1
229.2915,0,1,0,0
231.4053,0,6,0,0
233.519,0,8,0,0
235.5676,0,0,1,1
237.6496,0,0,1,1
239.7611,0,4,0,0
241.797,0,0,1,1
243.8394,0,0,1,1
245.956,0,0,1,1
248.068,0,4,0,0
250.181,0,3,0,0
252.2933,0,2,0,0
254.4057,0,7,0,0
256.5161,0,6,0,0
258.6286,0,6,0,0
260.7382,0,3,0,0
262.8542,0,0,1,1
264.9653,0,2,0,0
267.0816,0,7,0,0
269.1933,0,8,0,0
271.302,0,0,1,1
273.4368,0,0,1,1
275.5493,0,1,0,0
277.6612,0,4,0,0
279.7109,0,0,1,1
281.8206,0,2,0,0
283.9131,0,0,1,1
286.0238,0,1,0,0
288.1004,0,0,1,1
290.2274,0,0,1,1
292.3393,0,6,0,0
294.4736,0,0,1,1
296.5848,0,7,0,0
298.7242,0,0,1,1
300.8414,0,4,0,0
302.9512,0,6,0,0
305.0605,0,7,0,0
307.173,0,7,0,0
309.2198,0,0,1,1
311.3314,0,4,0,0
313.4436,0,5,0,0
315.5713,0,0,1,1
317.6854,0,2,0,0
319.8446,0,0,1,1
321.9201,0,0,1,1
324.0302,0,4,0,0
326.1396,0,7,0,0
328.2538,0,3,0,0
330.3665,0,2,0,0
332.4946,0,0,1,1
334.5835,0,0,1,1
336.694,0,0,1,1
338.8065,0,1,0,0
340.9166,0,8,0,0
343.0222,0,4,0,0
345.1311,0,9,0,0
347.2515,0,5,0,0
349.3501,0,0,1,1
351.4591,0,5,0,0
353.5588,0,0,1,1
355.6753,0,5,0,0
357.7883,0,8,0,0
359.8996,0,6,0,0
362.011,0,1,0,0
364.1234,0,4,0,0
366.2366,0,6,0,0
368.3488,0,1,0,0
370.4617,0,4,0,0
372.5741,0,5,0,0
374.626,0,0,1,1
406.8837,1,8,0,0
408.9575,1,8,1,1
411.066,1,2,0,0
413.1489,1,2,1,1
415.2926,1,2,1,1
417.4044,1,6,0,0
419.5176,1,0,0,0
421.6195,1,0,1,1
423.7298,1,1,0,0
425.8419,1,6,0,0
427.9601,1,3,0,0
430.0391,1,3,1,1
432.151,1,8,0,0
434.2629,1,4,0,0
436.3332,1,4,1,1
438.4476,1,1,0,0
440.5627,1,6,0,0
442.6732,1,8,0,0
444.7821,1,2,0,0
446.8227,1,8,0,1
448.9298,1,1,0,0
451.0401,1,2,0,0
453.1525,1,6,0,0
455.2631,1,7,0,0
457.3746,1,2,0,0
459.4878,1,1,0,0
461.5913,1,1,1,1
463.7053,1,7,0,0
465.8236,1,5,0,0
467.9411,1,3,0,0
470.0211,1,3,1,1
472.1309,1,2,0,0
474.2447,1,1,0,0
476.3564,1,2,0,0
478.4682,1,7,0,0
480.5809,1,2,0,0
482.6789,1,2,1,1
484.7905,1,6,0,0
486.901,1,4,0,0
489.0128,1,7,0,0
491.1243,1,5,0,0
493.1662,1,5,1,1
495.2791,1,6,0,0
497.3934,1,8,0,0
499.5044,1,5,0,0
501.631,1,5,1,1
503.7416,1,9,0,0
505.8592,1,9,1,1
507.911,1,9,1,1
510.0216,1,2,0,0
512.132,1,9,0,0
514.1979,1,9,1,1
516.3101,1,3,0,0
518.4217,1,1,0,0
520.5328,1,9,0,0
522.6433,1,3,0,0
524.7277,1,3,1,1
526.8683,1,3,1,1
528.9592,1,3,1,1
531.0721,1,0,0,0
533.1865,1,9,0,0
535.2682,1,9,1,1
537.3795,1,2,0,0
539.4902,1,9,0,0
541.6029,1,1,0,0
543.6734,1,1,1,1
545.7932,1,1,1,1
547.9096,1,5,0,0
550.0211,1,2,0,0
552.1469,1,2,1,1
554.2532,1,2,1,1
556.3651,1,9,0,0
558.4999,1,9,1,1
560.6132,1,0,0,0
562.6724,1,0,1,1
564.7265,1,0,1,1
566.8381,1,2,0,0
568.9523,1,4,0,0
571.0658,1,7,0,0
573.127,1,7,1,1
575.2375,1,2,0,0
577.3279,1,2,1,1
579.4551,1,2,1,1
581.5705,1,5,0,0
583.6816,1,4,0,0
585.7677,1,4,1,1
587.8773,1,8,0,0
589.939,1,8,1,1
592.0512,1,2,0,0
594.1644,1,6,0,0
596.2914,1,6,1,1
598.4022,1,5,0,0
600.5157,1,4,0,0
602.6406,1,4,1,1
604.7174,1,4,1,1
606.8262,1,6,0,0
608.9368,1,2,0,0
611.0483,1,8,0,0
613.1595,1,6,0,0
615.2791,1,6,1,1
647.5145,2,5,0,0
649.6251,2,9,0,0
651.7097,2,5,1,1
653.7866,2,5,0,1
655.824,2,5,1,1
657.9352,2,7,0,0
660.0638,2,5,1,1
662.1484,2,7,1,1
664.2611,2,8,0,0
666.3733,2,1,0,0
668.4854,2,2,0,0
670.5988,2,7,0,0
672.6649,2,2,1,1
674.7775,2,7,1,0
676.889,2,1,0,0
678.9795,2,7,1,1
681.1151,2,1,1,1
683.2278,2,4,0,0
685.339,2,7,0,0
687.4503,2,5,0,0
689.5689,2,5,0,1
691.6816,2,8,0,0
693.7955,2,5,1,0
695.8932,2,8,1,1
698.0029,2,3,0,0
700.1411,2,8,1,1
702.2558,2,7,0,0
704.3113,2,8,1,1
706.4216,2,4,0,0
708.5334,2,5,0,0
710.6444,2,3,0,0
712.7494,2,5,1,1
714.8619,2,3,1,0
716.9744,2,7,0,0
719.0872,2,0,0,0
721.1851,2,7,1,1
723.2987,2,9,0,0
725.4098,2,3,0,0
727.5217,2,1,0,0
729.6348,2,6,0,0
731.748,2,4,0,0
733.8809,2,6,1,1
735.9921,2,3,0,0
738.1044,2,6,1,0
740.2272,2,3,1,1
742.3453,2,6,1,1
744.4588,2,2,0,0
746.5698,2,2,0,0
748.6819,2,5,0,0
750.7953,2,7,0,0
752.9391,2,5,1,1
755.0825,2,7,1,1
757.1974,2,3,0,0
759.3093,2,6,0,0
761.4244,2,8,0,0
763.5344,2,5,0,0
765.6516,2,8,1,1
767.7621,2,0,0,0
769.8745,2,6,0,0
771.9913,2,0,1,1
774.1053,2,7,0,0
776.2175,2,2,0,0
778.3248,2,7,1,1
780.4379,2,8,0,0
782.55,2,3,0,0
784.6453,2,8,1,1
786.7584,2,8,0,0
788.8719,2,7,0,0
790.9846,2,5,0,0
793.0952,2,1,0,0
795.2073,2,3,0,0
797.282,2,1,1,1
