t_sec,nBack,number,expectedResponse,actualResponse
180.4254,0,2,0,0
182.5367,0,3,0,0
184.6487,0,7,0,0
186.7258,0,0,1,1
188.838,0,2,0,0
190.9488,0,9,0,0
193.0583,0,0,1,1
195.1391,0,0,1,1
197.2851,0,0,1,1
199.3954,0,1,0,0
201.507,0,4,0,0
203.6198,0,9,0,0
205.7294,0,8,0,0
207.8383,0,7,0,0
209.8983,0,0,1,1
212.0087,0,4,0,0
214.1196,0,1,0,0
216.2337,0,0,1,1
218.3597,0,7,0,0
220.4703,0,1,0,0
222.5672,0,0,1,1
224.6778,0,3,0,0
226.7618,0,0,1,1
228.8729,0,1,0,0
230.9833,0,2,0,0
233.0936,0,6,0,0
235.2046,0,6,0,0
237.3128,0,8,0,0
239.4253,0,5,0,0
241.5372,0,9,0,0
243.6499,0,7,0,0
245.7599,0,2,0,0
247.8813,0,0,1,1
249.9912,0,1,0,0
252.1014,0,9,0,0
254.2109,0,0,1,1
256.3536,0,0,1,1
258.5106,0,0,1,1
260.6216,0,3,0,0
262.7311,0,3,0,0
264.8423,0,6,0,0
266.9379,0,0,1,1
269.0459,0,4,0,0
271.1566,0,8,0,0
273.2665,0,8,0,0
275.3754,0,0,1,1
277.4404,0,0,1,1
279.5003,0,0,1,1
281.5515,0,0,1,1
283.6619,0,3,0,0
285.7731,0,7,0,0
287.8826,0,4,0,0
289.9199,0,0,1,1
292.0467,0,0,1,1
294.1568,0,8,0,0
296.2661,0,3,0,0
298.3756,0,2,0,0
300.4558,0,0,1,1
302.5204,0,0,1,1
304.6325,0,1,0,0
306.73,0,0,1,1
308.8398,0,6,0,0
310.9503,0,4,0,0
313.0098,0,0,1,1
315.0721,0,0,1,1
317.1687,0,0,1,1
319.2802,0,7,0,0
321.3916,0,2,0,0
323.501,0,5,0,0
325.6113,0,7,0,0
327.7368,0,0,1,1
329.8817,0,0,1,1
331.9605,0,0,1,1
334.0625,0,0,1,1
336.1216,0,0,1,1
338.2313,0,6,0,0
340.3287,0,0,1,1
342.4391,0,9,0,0
344.5496,0,8,0,0
346.6606,0,1,0,0
348.7706,0,1,0,0
350.8833,0,9,0,0
352.9926,0,8,0,0
355.1012,0,5,0,0
357.216,0,4,0,0
359.2701,0,0,1,1
361.3595,0,0,1,1
363.493,0,0,1,1
365.6017,0,4,0,0
367.7114,0,1,0,0
369.8006,0,0,1,1
371.9122,0,4,0,0
374.036,0,0,1,1
376.1447,0,9,0,0
378.2539,0,3,0,0
380.3655,0,2,0,0
382.477,0,1,0,0
384.5875,0,3,0,0
386.6977,0,0,1,1
388.8528,0,0,1,1
421.0977,1,5,0,0
423.2006,1,5,1,1
425.2719,1,5,1,1
427.3296,1,5,1,1
429.4421,1,1,0,0
431.5541,1,5,0,0
433.6649,1,8,0,0
435.7746,1,7,0,0
437.8851,1,4,0,0
439.9876,1,4,1,1
442.0206,1,4,1,1
444.1325,1,9,0,0
446.2437,1,8,0,0
448.3561,1,5,0,0
450.4684,1,9,0,0
452.5798,1,8,0,0
454.7208,1,8,1,1
456.832,1,2,0,0
458.9436,1,1,0,0
461.0124,1,1,1,1
463.1246,1,3,0,0
465.2336,1,2,0,0
467.3428,1,1,0,0
469.4549,1,2,0,0
471.5648,1,3,0,0
473.6732,1,1,0,0
475.7826,1,4,0,0
477.8945,1,8,0,0
480.0036,1,2,0,0
482.115,1,1,0,0
484.2117,1,1,1,1
486.2966,1,1,1,1
488.4074,1,2,0,0
490.4679,1,2,1,1
492.5785,1,8,0,0
494.6279,1,8,1,1
496.7396,1,1,0,0
498.8515,1,7,0,0
500.9619,1,1,0,0
503.0174,1,1,1,1
505.1288,1,4,0,0
507.2397,1,7,0,0
509.3494,1,3,0,0
511.4378,1,3,1,1
513.5001,1,3,1,1
515.6106,1,1,0,0
517.7223,1,5,0,0
519.8,1,5,1,1
521.9099,1,8,0,0
524.0501,1,8,1,1
526.1614,1,3,0,0
528.2713,1,7,0,0
530.3796,1,4,0,0
532.4448,1,4,1,1
534.555,1,9,0,0
536.6649,1,2,0,0
538.7398,1,2,1,1
540.8492,1,9,0,0
542.9599,1,7,0,0
545.0703,1,0,0,0
547.1385,1,0,1,1
549.2473,1,6,0,0
551.3589,1,1,0,0
553.4689,1,7,0,0
555.593,1,7,1,1
557.6598,1,7,1,1
559.7747,1,7,1,1
561.885,1,1,0,0
563.9944,1,6,0,0
566.1058,1,2,0,0
568.2161,1,0,0,0
570.3124,1,0,1,1
572.4226,1,5,0,0
574.5447,1,5,1,1
576.6002,1,5,1,1
578.6442,1,5,1,1
580.7519,1,8,0,0
582.8633,1,3,0,0
584.9454,1,3,1,1
587.0764,1,3,1,1
589.1878,1,7,0,0
591.2972,1,8,0,0
593.4077,1,5,0,0
595.5237,1,5,1,1
597.6534,1,5,1,1
599.7681,1,5,1,1
601.8809,1,3,0,0
603.9908,1,5,0,0
606.1007,1,2,0,0
608.2117,1,5,0,0
610.3224,1,8,0,0
612.4494,1,8,1,1
614.5193,1,8,1,1
616.6279,1,3,0,0
618.6967,1,3,1,1
620.8076,1,9,0,0
622.9192,1,2,0,0
625.0248,1,2,1,1
627.1352,1,5,0,0
629.2088,1,2,0,1
661.5474,2,6,0,0
663.6572,2,9,0,0
665.7675,2,5,0,0
667.8906,2,7,0,0
670.0443,2,5,1,1
672.1547,2,1,0,0
674.2656,2,8,0,0
676.3746,2,5,0,0
678.4832,2,5,0,0
680.5942,2,4,0,0
682.7039,2,4,0,0
684.8138,2,2,0,0
686.9445,2,4,1,1
689.025,2,2,1,1
691.1362,2,5,0,0
693.2584,2,2,1,1
695.369,2,2,0,0
697.4394,2,2,1,1
699.5511,2,5,0,0
701.6614,2,3,0,0
703.7723,2,0,0,0
705.8636,2,3,1,1
707.9041,2,0,1,1
710.0128,2,8,0,0
712.1225,2,6,0,0
714.2327,2,2,0,0
716.3313,2,6,1,1
718.3741,2,2,1,1
720.4837,2,0,0,0
722.5934,2,4,0,0
724.7031,2,6,0,0
726.808,2,4,1,1
728.9192,2,1,0,0
731.0287,2,1,0,0
733.1431,2,1,1,1
735.2545,2,4,0,0
737.3322,2,1,1,1
739.4412,2,3,0,0
741.5517,2,6,0,0
743.6603,2,0,0,0
745.7702,2,4,0,0
747.8824,2,3,0,0
749.9908,2,4,1,0
752.0721,2,3,1,1
754.1831,2,9,0,0
756.2933,2,5,0,0
758.4188,2,9,1,1
760.5438,2,5,1,1
762.6542,2,0,0,0
764.766,2,1,0,0
766.8766,2,7,0,0
769.005,2,1,1,1
771.1169,2,8,0,0
773.2267,2,9,0,0
775.339,2,7,0,0
777.4489,2,4,0,0
779.5602,2,6,0,0
781.6694,2,2,0,0
783.7454,2,6,1,1
785.8558,2,6,0,0
787.9673,2,0,0,0
790.001,2,6,1,1
792.1102,2,4,0,0
794.2203,2,1,0,0
796.3633,2,4,1,1
798.4649,2,1,1,1
800.5757,2,8,0,0
802.6877,2,9,0,0
804.7832,2,8,1,1
806.894,2,2,0,0
809.0072,2,6,0,0
811.1326,2,2,1,1
813.2397,2,6,1,1
815.3471,2,6,0,0
817.4557,2,3,0,0
819.5671,2,2,0,0
821.678,2,4,0,0
823.7486,2,2,1,1
825.8369,2,4,1,1
827.9468,2,7,0,0
830.0652,2,7,0,1
832.1735,2,0,0,0
834.2846,2,2,0,0
836.338,2,0,1,1
838.4327,2,2,1,1
840.5422,2,1,0,0
842.6555,2,6,0,0
844.7755,2,1,1,1
846.8425,2,6,1,1
848.9277,2,1,1,1
851.0367,2,5,0,0
853.1183,2,1,1,1
855.2239,2,5,1,1
857.3347,2,3,0,0
859.4442,2,9,0,0
861.5228,2,5,0,1
863.6085,2,9,1,1
865.7175,2,8,0,0
867.8265,2,8,0,0
869.9376,2,6,0,0
902.1887,3,8,1,0
904.2979,3,2,0,0
906.4221,3,2,0,0
908.5332,3,5,0,0
910.6412,3,8,0,0
912.6875,3,2,1,1
914.7973,3,8,0,0
916.9084,3,1,0,0
919.0135,3,5,0,1
921.1206,3,5,0,0
923.2332,3,9,0,0
925.3441,3,4,0,0
927.4406,3,5,1,1
929.5494,3,1,0,0
931.5985,3,4,1,1
933.6793,3,9,0,1
935.7896,3,7,0,0
937.956,3,1,0,1
940.0657,3,2,0,0
942.1758,3,2,0,0
944.3123,3,4,0,1
946.4191,3,7,0,0
948.4657,3,2,1,1
950.5762,3,6,0,0
952.6844,3,7,1,0
954.7919,3,2,1,0
956.9083,3,6,1,1
959.0192,3,3,0,0
961.1328,3,7,0,0
963.2434,3,6,1,0
965.3536,3,4,0,0
