t_sec,nBack,number,expectedResponse,actualResponse
169.9031,0,6,0,0
172.0196,0,1,0,0
174.1336,0,1,0,0
176.1739,0,0,1,1
178.2865,0,6,0,0
180.396,0,0,1,1
182.504,0,0,1,1
184.6177,0,8,0,0
186.7306,0,3,0,0
188.8407,0,3,0,0
190.9118,0,0,1,1
193.0196,0,2,0,0
195.1325,0,7,0,0
197.2482,0,3,0,0
199.3453,0,0,1,1
201.4579,0,5,0,0
203.5683,0,5,0,0
205.6248,0,0,1,1
207.7387,0,9,0,0
209.8811,0,0,1,1
211.9707,0,0,1,1
214.0249,0,0,1,1
216.1374,0,5,0,0
218.2166,0,0,1,1
220.33,0,9,0,0
222.4408,0,2,0,0
224.5509,0,5,0,0
226.6665,0,7,0,0
228.7351,0,0,1,1
230.8466,0,7,0,0
232.9591,0,1,0,0
235.0698,0,5,0,0
237.1809,0,8,0,0
239.2892,0,9,0,0
241.4027,0,1,0,0
243.5144,0,4,0,0
245.5776,0,0,1,1
247.6788,0,0,1,1
249.7916,0,5,0,0
251.9032,0,1,0,0
254.0144,0,3,0,0
256.127,0,8,0,0
258.238,0,5,0,0
260.3806,0,0,1,1
262.493,0,7,0,0
264.6059,0,7,0,0
266.6804,0,0,1,1
268.7917,0,6,0,0
270.9008,0,8,0,0
273.0098,0,1,0,0
275.1407,0,0,1,1
277.2533,0,3,0,0
279.3637,0,3,0,0
281.4734,0,6,0,0
283.5858,0,1,0,0
285.7109,0,6,0,0
287.8015,0,0,1,1
289.9044,0,0,1,1
292.0193,0,4,0,0
294.1013,0,0,1,1
296.211,0,7,0,0
298.3238,0,5,0,0
300.4418,0,0,1,1
302.5212,0,0,1,1
304.6346,0,7,0,0
306.7136,0,0,1,1
308.8271,0,8,0,0
310.9427,0,7,0,0
313.055,0,5,0,0
315.1656,0,7,0,0
317.2093,0,0,1,1
319.3032,0,0,1,1
321.4005,0,0,1,1
323.5126,0,8,0,0
325.6224,0,1,0,0
327.7321,0,1,0,0
329.8452,0,1,0,0
331.9582,0,4,0,0
334.1055,0,0,1,1
336.2167,0,5,0,0
338.2737,0,0,1,1
340.3857,0,2,0,0
342.4993,0,7,0,0
344.5843,0,0,1,1
346.6728,0,0,1,1
348.8058,0,0,1,1
350.9179,0,5,0,0
353.0289,0,8,0,0
355.1396,0,5,0,0
357.2349,0,0,1,1
359.3142,0,0,1,1
361.4287,0,3,0,0
363.5127,0,0,1,1
365.57,0,0,1,1
367.7083,0,0,1,1
369.7772,0,0,1,1
371.8903,0,7,0,0
374.0029,0,4,0,0
376.1121,0,1,0,0
378.2233,0,5,0,0
410.4717,1,6,0,0
412.5867,1,0,0,0
414.7036,1,0,1,1
416.8152,1,2,0,0
418.9248,1,8,0,0
421.0373,1,3,0,0
423.148,1,5,0,0
425.2808,1,5,1,1
427.3958,1,2,0,0
429.536,1,2,1,1
431.6492,1,6,0,0
433.7629,1,3,0,0
435.825,1,3,1,1
437.9384,1,4,0,0
440.0503,1,8,0,0
442.1573,1,5,0,0
444.2653,1,9,0,0
446.3768,1,9,1,1
448.4859,1,5,0,0
450.5968,1,0,0,0
452.6546,1,0,1,1
454.7689,1,8,0,0
456.8407,1,8,1,1
458.8997,1,8,1,1
461.0108,1,4,0,0
463.1198,1,3,0,0
465.2336,1,8,0,0
467.3442,1,0,0,0
469.4525,1,8,0,0
471.5636,1,6,0,0
473.6766,1,8,0,0
475.7903,1,5,0,0
477.8804,1,5,1,1
479.9307,1,5,1,1
482.0403,1,3,0,0
484.1517,1,4,0,0
486.288,1,4,1,1
488.4014,1,3,0,0
490.5117,1,2,0,0
492.6216,1,8,0,0
494.679,1,8,1,1
496.7478,1,8,1,1
498.8598,1,6,0,0
500.9772,1,2,0,0
503.0958,1,2,1,1
505.1635,1,2,1,1
507.2728,1,3,0,0
509.3644,1,3,1,1
511.4048,1,3,1,1
513.5184,1,6,0,0
515.632,1,9,0,0
517.7443,1,4,0,0
519.8652,1,2,0,0
521.9758,1,1,0,0
524.0914,1,1,1,1
526.151,1,1,1,1
528.2245,1,1,1,1
530.3388,1,5,0,0
532.4567,1,3,0,0
534.5704,1,5,0,0
536.6833,1,2,0,0
538.8316,1,2,1,1
540.9027,1,2,1,1
543.0143,1,3,0,0
545.1262,1,7,0,0
547.2389,1,5,0,0
549.3515,1,3,0,0
551.4651,1,5,0,0
553.577,1,6,0,0
555.6872,1,8,0,0
557.7993,1,5,0,0
559.912,1,2,0,0
562.0243,1,7,0,0
564.084,1,7,1,1
566.1968,1,2,0,0
568.3109,1,7,0,0
570.4214,1,4,0,0
572.533,1,7,0,0
574.6463,1,2,0,0
576.6919,1,2,1,1
578.8034,1,9,0,0
580.9175,1,6,0,0
583.0374,1,7,0,0
585.1492,1,6,0,0
587.2612,1,2,0,0
589.3635,1,2,1,1
591.4568,1,2,1,1
593.5691,1,6,0,0
595.6467,1,6,1,1
597.7563,1,1,0,0
599.8425,1,1,1,1
601.9521,1,8,0,0
604.114,1,8,1,1
606.225,1,2,0,0
608.3245,1,2,1,1
610.4168,1,2,1,1
612.5043,1,2,1,1
614.5763,1,2,1,1
616.6888,1,8,0,0
618.801,1,4,0,0
651.0522,2,2,0,0
653.1663,2,4,0,0
655.2781,2,2,1,1
657.39,2,1,0,0
659.4736,2,2,1,1
661.5856,2,4,0,0
663.6975,2,4,0,0
665.8101,2,3,0,0
667.921,2,8,0,0
670.0344,2,5,0,0
672.1449,2,7,0,0
674.2186,2,8,0,1
676.3317,2,7,1,0
678.4437,2,3,0,0
680.5578,2,3,0,0
682.669,2,5,0,0
684.7843,2,4,0,0
686.8992,2,8,0,0
689.0128,2,4,1,0
691.1266,2,8,1,0
693.239,2,6,0,0
695.3116,2,4,0,1
697.4271,2,6,1,0
699.5389,2,4,1,0
701.6511,2,2,0,0
703.7635,2,4,1,0
705.8641,2,2,1,1
707.9768,2,3,0,0
710.0877,2,7,0,0
712.1972,2,5,0,0
714.3071,2,0,0,0
716.4164,2,9,0,0
718.5286,2,6,0,0
720.6395,2,1,0,0
722.7671,2,6,1,1
724.8765,2,3,0,0
726.9648,2,6,1,1
729.0787,2,5,0,0
731.1915,2,7,0,0
733.3046,2,6,0,0
735.4167,2,2,0,0
737.5291,2,5,0,0
739.6393,2,2,1,0
741.7426,2,6,0,1
743.8546,2,3,0,0
745.9666,2,6,1,0
748.0764,2,3,1,0
750.1921,2,0,0,0
752.3043,2,5,0,0
754.4171,2,8,0,0
756.5478,2,5,1,1
758.6597,2,8,1,0
760.7791,2,5,1,1
762.8909,2,7,0,0
765.0036,2,5,1,0
767.1134,2,7,1,0
769.2249,2,2,0,0
771.3372,2,5,0,0
773.4459,2,2,1,0
775.5177,2,5,1,1
777.6288,2,6,0,0
779.7401,2,0,0,0
781.8527,2,7,0,0
783.9658,2,0,1,0
786.0765,2,8,0,0
788.1883,2,5,0,0
790.2651,2,8,1,1
792.3754,2,1,0,0
794.487,2,7,0,0
796.5967,2,4,0,0
798.7087,2,4,0,0
800.8204,2,3,0,0
802.9335,2,3,0,0
805.0435,2,9,0,0
807.1191,2,3,1,1
809.2375,2,8,0,0
811.3478,2,6,0,0
813.4708,2,8,1,1
815.5533,2,6,1,1
817.6657,2,9,0,0
819.7316,2,6,1,1
821.8436,2,7,0,0
823.9621,2,6,1,1
826.0715,2,5,0,0
828.1681,2,6,1,1
830.2781,2,6,0,0
832.3905,2,0,0,0
834.504,2,5,0,0
836.6138,2,0,1,1
838.7257,2,2,0,0
840.8386,2,4,0,0
842.9551,2,2,1,1
845.0665,2,4,1,0
847.1778,2,1,0,0
849.2925,2,5,0,0
851.4047,2,1,1,1
853.5156,2,5,1,0
855.6266,2,1,1,0
857.7393,2,0,0,0
859.8508,2,1,1,0
892.097,3,6,0,0
894.2093,3,8,0,0
896.3204,3,9,0,0
