t_sec,nBack,number,expectedResponse,actualResponse
166.639,0,9,0,0
168.7536,0,0,1,1
170.8648,0,5,0,0
172.9511,0,0,1,1
175.049,0,0,1,1
177.1582,0,6,0,0
179.2691,0,1,0,0
181.3801,0,8,0,0
183.4924,0,2,0,0
185.6021,0,3,0,0
187.7129,0,5,0,0
189.8241,0,8,0,0
191.9501,0,3,0,0
194.0593,0,6,0,0
196.1695,0,5,0,0
198.2802,0,8,0,0
200.3894,0,1,0,0
202.4975,0,7,0,0
204.6078,0,5,0,0
206.7299,0,6,0,0
208.8396,0,1,0,0
210.9494,0,3,0,0
213.0594,0,2,0,0
215.1586,0,0,1,1
217.2515,0,0,1,1
219.3627,0,8,0,0
221.4883,0,0,1,1
223.5985,0,8,0,0
225.7045,0,0,1,1
227.7707,0,0,1,1
229.8788,0,1,0,0
231.9864,0,6,0,0
234.0932,0,8,0,0
236.1444,0,0,1,1
238.2925,0,0,1,1
240.403,0,4,0,0
242.4968,0,0,1,1
244.562,0,0,1,1
246.7063,0,0,1,1
248.8158,0,4,0,0
250.9245,0,3,0,0
253.0361,0,2,0,0
255.1458,0,7,0,0
257.257,0,6,0,0
259.3669,0,6,0,0
261.4773,0,3,0,0
263.5524,0,0,1,1
265.6611,0,2,0,0
267.7719,0,7,0,0
269.8818,0,8,0,0
271.985,0,0,1,1
274.1138,0,0,1,1
276.2287,0,1,0,0
278.3378,0,4,0,0
280.4655,0,0,1,1
282.574,0,2,0,0
284.7141,0,0,1,1
286.8252,0,1,0,0
288.9114,0,0,1,1
291.0085,0,0,1,1
293.1198,0,6,0,0
295.2514,0,0,1,1
297.3619,0,7,0,0
299.417,0,0,1,1
301.5265,0,4,0,0
303.6379,0,6,0,0
305.7493,0,7,0,0
307.8616,0,7,0,0
309.9927,0,0,1,1
312.1013,0,4,0,0
314.2114,0,5,0,0
316.3031,0,0,1,1
318.4131,0,2,0,0
320.5395,0,0,1,1
322.6616,0,0,1,1
324.7786,0,4,0,0
326.8896,0,7,0,0
328.9984,0,3,0,0
331.1075,0,2,0,0
333.2083,0,0,1,1
335.3448,0,0,1,1
337.4153,0,0,1,1
339.5253,0,1,0,0
341.6336,0,8,0,0
343.7437,0,4,0,0
345.8553,0,9,0,0
347.9672,0,5,0,0
350.0385,0,0,1,1
352.1477,0,5,0,0
354.2808,0,0,1,1
356.3927,0,5,0,0
358.5041,0,8,0,0
360.6156,0,6,0,0
362.726,0,1,0,0
364.8366,0,4,0,0
366.9486,0,6,0,0
369.061,0,1,0,0
371.1715,0,4,0,0
373.282,0,5,0,0
375.4191,0,0,1,1
407.7642,1,8,0,0
409.8858,1,8,1,1
