t_sec,abp_mmHg,resp_arbunit,spo2_unitless,scon_muS
0,85.96764,0.2314941,0.9598774,3.538329
0.05079656,84.3147,0.1181706,0.9598774,3.53187
0.0998698,83.67896,0.03259984,0.9597127,3.538329
0.1497215,86.60338,-0.05990952,0.9598774,3.538329
0.1998712,118.3905,-0.1755464,0.9699246,3.53187
0.2507073,128.181,-0.2218007,0.9697599,3.53187
0.3018688,112.9231,-0.3258738,0.9699246,3.53187
0.3505276,104.1499,-0.4299461,0.9699246,3.53187
0.4005514,102.1155,-0.4484485,0.9697599,3.53187
0.4505707,102.2427,-0.4576988,0.9695953,3.53187
0.4999971,102.497,-0.4623248,0.9697599,3.53187
0.5512461,104.7856,-0.4762012,0.9697599,3.53187
0.5999936,95.24948,-0.4900776,0.9697599,3.53187
0.650041,92.19792,-0.5224555,0.9699246,3.53187
0.6996609,89.0192,-0.5687097,0.9697599,3.53187
0.7496781,87.11198,-0.5987759,0.9697599,3.53187
0.8016884,85.71333,-0.6057136,0.9697599,3.525411
0.8506644,85.20473,-0.603401,0.9697599,3.53187
0.9008688,89.0192,-0.6589065,0.9600421,3.525411
0.9505122,126.0195,-0.6750954,0.9597127,3.53187
1.000502,129.4525,-0.698223,0.9598774,3.53187
1.051799,110.1259,-0.7236631,0.9597127,3.525411
1.100479,109.1087,-0.7074733,0.9597127,3.525411
1.150239,106.3114,-0.6565939,0.9597127,3.53187
1.200362,105.1671,-0.5340192,0.9598774,3.525411
1.250062,106.82,-0.3651895,0.9598774,3.525411
1.301477,106.82,-0.1662952,0.9598774,3.525411
1.350298,93.2151,0.002534538,0.9597127,3.525411
1.400217,92.57936,0.1389856,0.9598774,3.525411
1.449893,91.05358,0.2869995,0.9597127,3.525411
1.500806,89.0192,0.4142002,0.9597127,3.525411
1.551821,87.74771,0.4905198,0.9598774,3.525411
1.600523,86.60338,0.5737779,0.9598774,3.525411
1.650443,95.63092,0.6408471,0.9598774,3.525411
1.700114,126.0195,0.7032912,0.9598774,3.525411
1.75036,129.5796,0.7981132,0.9597127,3.525411
1.801034,112.9231,0.8813704,0.9598774,3.518952
1.850705,107.3286,0.946128,0.9598774,3.518952
1.900485,103.6413,0.9970082,0.9598774,3.525411
1.949986,103.387,1.045575,0.9598774,3.518952
2.000113,105.5485,1.094142,0.9597127,3.518952
2.051671,107.5829,1.121895,0.9598774,3.525411
2.100819,98.80965,1.145022,0.9598774,3.518952
2.149984,94.48659,1.163525,0.9597127,3.518952
2.200814,92.07076,1.175088,0.9598774,3.518952
2.250026,90.29069,1.182025,0.9597127,3.518952
2.300674,88.7649,1.156586,0.9598774,3.518952
2.350573,88.38345,1.112644,0.9598774,3.518952
2.399792,92.45221,1.082578,0.9598774,3.512493
2.450436,119.662,1.034011,0.9598774,3.518952
2.500781,125.1294,0.9808193,0.9598774,3.518952
2.551689,103.6413,0.904498,0.9598774,3.518952
2.600064,95.24948,0.8536186,0.9598774,3.518952
2.649675,93.59654,0.8166147,0.9597127,3.512493
2.700983,102.2427,0.7657344,0.9598774,3.512493
2.750315,107.0743,0.698666,0.9598774,3.518952
2.801647,105.93,0.6315968,0.9598774,3.518952
2.850436,92.83366,0.5760913,0.9598774,3.512493
2.89996,89.78209,0.5043961,0.9597127,3.518952
2.949672,87.87486,0.4373269,0.9598774,3.512493
2.999692,85.96764,0.347131,0.9598774,3.512493
3.051671,85.58618,0.2592468,0.9598774,3.512493
3.100655,86.34908,0.189865,0.9597127,3.512493
3.149955,109.8716,0.1343595,0.9598774,3.512493
3.200676,129.9611,0.07654151,0.9597127,3.512493
3.250233,108.7272,-0.01596785,0.9598774,3.512493
3.301267,105.4214,-0.08303706,0.9597127,3.506034
3.350321,101.4798,-0.1015386,0.9598774,3.512493
3.400308,100.0811,-0.115415,0.9598774,3.512493
3.450434,103.0055,-0.1454803,0.9598774,3.512493
3.500781,105.5485,-0.1847968,0.9597127,3.506034
3.550806,95.63092,-0.2079243,0.9597127,3.506034
3.60069,91.68932,-0.2333644,0.9598774,3.506034
3.650429,88.63776,-0.2842439,0.9597127,3.499574
3.700155,87.74771,-0.3374367,0.9597127,3.499574
3.750272,87.11198,-0.3675029,0.9597127,3.493115
3.800756,85.71333,-0.3836918,0.9598774,3.480197
3.850225,89.78209,-0.4068185,0.9597127,3.473738
3.900058,121.315,-0.4230084,0.9598774,3.473738
3.950692,129.1982,-0.4368847,0.9597127,3.480197
4.000757,113.8132,-0.4738878,0.9598774,3.473738
4.051479,105.6757,-0.4900776,0.9597127,3.480197
4.099945,104.7856,-0.4993279,0.9597127,3.480197
4.150471,103.387,-0.4623248,0.9598774,3.480197
4.199908,104.9128,-0.3813792,0.9597127,3.460819
4.250695,106.4386,-0.2842439,0.9598774,3.493115
4.301507,96.39381,-0.1639826,0.9597127,3.499574
4.350528,93.34225,-0.05065832,0.9597127,3.518952
4.400453,89.78209,0.08579271,0.9598774,3.53187
4.45047,87.87486,0.1968036,0.9598774,3.538329
4.499928,86.34908,0.2962507,0.9597127,3.493115
4.550702,85.33189,0.3956978,0.959548,3.467279
4.600344,84.0604,0.5043961,0.959548,3.45436
4.650727,84.18755,0.6015307,0.9597127,3.460819
4.700426,106.9472,0.6778511,0.959548,3.434983
4.750221,130.0882,0.7611092,0.9597127,3.409146
4.801469,120.1706,0.8374296,0.9598774,3.422065
4.849919,105.93,0.8929342,0.9598774,3.434983
4.899918,102.6241,0.9530665,0.9597127,3.460819
4.94994,101.6069,1.006259,0.9597127,3.486656
5.000926,104.9128,1.0502,0.9597127,3.499574
5.050925,105.93,1.082578,0.9598774,3.506034
5.100186,105.93,1.121895,0.959548,3.506034
5.150715,94.74089,1.163525,0.9597127,3.518952
5.200524,91.05358,1.182025,0.9697599,3.525411
5.250456,88.63776,1.212091,0.9697599,3.512493
5.301146,86.85767,1.237532,0.9695953,3.512493
5.350004,86.47623,1.260658,0.9697599,3.499574
5.40076,85.33189,1.279161,0.9699246,3.493115
5.450176,84.82329,1.297663,0.9697599,3.486656
5.50075,96.52097,1.318477,0.9695953,3.493115
5.551769,123.8579,1.323102,0.9697599,3.506034
5.600424,121.4421,1.311538,0.9697599,3.506034
5.650885,99.44539,1.274535,0.9697599,3.499574
5.700688,90.67213,1.246783,0.9697599,3.493115
5.751727,90.67213,1.221342,0.9697599,3.486656
5.801462,103.387,1.195902,0.9699246,3.486656
5.849916,104.0227,1.158899,0.9697599,3.486656
5.900871,104.0227,1.12652,0.9697599,3.493115
5.950402,86.34908,1.077953,0.9697599,3.493115
6.001048,85.84048,1.031698,0.9699246,3.493115
6.051045,85.07759,0.9576917,0.9699246,3.499574
6.100889,84.82329,0.8952476,0.9697599,3.499574
6.149772,83.55181,0.8582438,0.9699246,3.499574
6.200813,83.55181,0.8235533,0.9697599,3.499574
6.25188,100.2083,0.772673,0.9697599,3.499574
6.301301,125.2566,0.6963526,0.9697599,3.499574
6.35075,114.7032,0.6385345,0.9697599,3.493115
6.40004,98.42819,0.5992181,0.9699246,3.486656
6.449816,88.5106,0.6477857,0.9697599,3.486656
6.501736,92.7065,0.714855,0.9697599,3.486656
6.550943,100.4626,0.6685998,0.9699246,3.480197
6.60094,102.8784,0.5552764,0.9699246,3.480197
6.650172,91.30788,0.4720182,0.9697599,3.480197
6.700036,89.78209,0.4118876,0.9697599,3.480197
6.750891,84.69615,0.3656325,0.9699246,3.480197
6.801655,83.42466,0.3193783,0.9699246,3.480197
6.849913,82.40748,0.252309,0.9697599,3.473738
6.899901,82.40748,0.1389856,0.9695953,3.473738
6.950665,82.15317,0.1436107,0.9697599,3.473738
7.001664,95.37663,0.1459233,0.9697599,3.473738
7.051917,125.5108,0.1204832,0.9699246,3.473738
7.100845,128.0538,0.111232,0.9697599,3.473738
7.150682,105.6757,0.06729032,0.9697599,3.473738
7.199917,101.0983,-0.04834574,0.9699246,3.467279
7.251032,98.42819,-0.2472408,0.9699246,3.473738
7.300908,100.2083,-0.4322587,0.9697599,3.473738
7.350888,101.3526,-0.5108917,0.9697599,3.467279
7.400685,103.7684,-0.6450301,0.9699246,3.473738
7.450387,92.19792,-0.7167245,0.9697599,3.467279
7.500829,89.2735,-0.6866592,0.9697599,3.467279
7.551657,85.20473,-0.6288412,0.9697599,3.467279
7.600847,83.67896,-0.5964624,0.9697599,3.467279
7.650533,82.15317,-0.5548334,0.9699246,3.467279
7.700042,81.26313,-0.6843466,0.9697599,3.473738
7.751408,80.75454,-0.7837937,0.9697599,3.473738
7.801785,98.42819,-0.8092338,0.9697599,3.473738
7.850397,128.3081,-0.8161716,0.9697599,3.467279
7.900508,106.4386,-0.8231102,0.9697599,3.473738
7.950394,104.4042,-0.8924921,0.9697599,3.473738
8.001005,97.79247,-0.9294959,0.9699246,3.467279
8.051919,97.28386,-0.8994306,0.9697599,3.473738
8.10038,98.55534,-0.8832408,0.9697599,3.473738
8.15037,102.3698,-0.834674,0.9699246,3.467279
8.200674,99.19109,-0.7259757,0.9699246,3.467279
8.250781,89.40065,-0.5825861,0.9697599,3.467279
8.301912,86.60338,-0.3698155,0.9699246,3.473738
8.350643,85.20473,-0.115415,0.9697599,3.467279
8.400117,83.04321,0.06497774,0.9697599,3.467279
