t_sec,nBack,number,expectedResponse,actualResponse
210.6699,0,9,0,0
212.7637,0,0,1,1
214.8773,0,5,0,0
216.9464,0,0,1,1
219.0034,0,0,1,1
221.1124,0,6,0,0
223.2228,0,1,0,0
225.3335,0,8,0,0
227.444,0,2,0,0
229.5542,0,3,0,0
231.6657,0,5,0,0
233.7764,0,8,0,0
235.89,0,3,0,0
238.0018,0,6,0,0
240.1143,0,5,0,0
242.2268,0,8,0,0
244.34,0,1,0,0
246.4517,0,7,0,0
248.5604,0,5,0,0
250.6693,0,6,0,0
252.7813,0,1,0,0
254.8941,0,3,0,0
257.007,0,2,0,0
259.1065,0,0,1,1
261.2709,0,0,1,1
263.3776,0,8,0,0
265.457,0,0,1,1
267.569,0,8,0,0
269.6454,0,0,1,1
271.716,0,0,1,1
273.8297,0,1,0,0
275.9425,0,6,0,0
278.0554,0,8,0,0
280.1425,0,0,1,1
282.2691,0,0,1,1
284.3813,0,4,0,0
286.4857,0,0,1,1
288.6354,0,0,1,1
290.7694,0,0,1,1
292.881,0,4,0,0
294.9925,0,3,0,0
297.1062,0,2,0,0
299.217,0,7,0,0
301.3275,0,6,0,0
303.4388,0,6,0,0
305.551,0,3,0,0
307.6784,0,0,1,1
309.7893,0,2,0,0
311.9019,0,7,0,0
314.0136,0,8,0,0
316.1269,0,0,1,1
318.2261,0,0,1,1
320.3398,0,1,0,0
322.4529,0,4,0,0
324.5281,0,0,1,1
326.6532,0,2,0,0
328.7523,0,0,1,1
330.8614,0,1,0,0
332.9542,0,0,1,1
335.0892,0,0,1,1
337.2026,0,6,0,0
339.3377,0,0,1,1
341.4491,0,7,0,0
343.5528,0,0,1,1
345.6631,0,4,0,0
347.7759,0,6,0,0
349.8879,0,7,0,0
351.9971,0,7,0,0
354.1221,0,0,1,1
356.2345,0,4,0,0
358.3467,0,5,0,0
360.4302,0,0,1,1
362.5424,0,2,0,0
364.5908,0,0,1,1
366.646,0,0,1,1
368.7587,0,4,0,0
370.8708,0,7,0,0
372.9828,0,3,0,0
375.0955,0,2,0,0
377.205,0,0,1,1
379.303,0,0,1,1
381.3631,0,0,1,1
383.471,0,1,0,0
385.5844,0,8,0,0
387.6975,0,4,0,0
389.8112,0,9,0,0
391.9235,0,5,0,0
394.081,0,0,1,1
396.1945,0,5,0,0
398.313,0,0,1,1
400.4263,0,5,0,0
402.5397,0,8,0,0
404.6512,0,6,0,0
406.7651,0,1,0,0
408.8768,0,4,0,0
410.9902,0,6,0,0
413.1006,0,1,0,0
415.2091,0,4,0,0
