t_sec,nBack,number,expectedResponse,actualResponse
174.6028,0,6,0,0
176.6579,0,0,1,1
178.6871,0,0,1,1
180.7977,0,2,0,0
182.9101,0,2,0,0
184.9948,0,0,1,1
187.0747,0,0,1,1
189.1852,0,1,0,0
191.2934,0,9,0,0
193.4045,0,1,0,0
195.5143,0,8,0,0
197.5965,0,0,1,1
199.6076,0,1,0,0
201.7176,0,3,0,0
203.8276,0,8,0,0
205.9381,0,8,0,0
207.9657,0,0,1,1
209.9822,0,0,1,1
212.0967,0,3,0,0
214.2086,0,4,0,0
216.3172,0,5,0,0
218.33,0,6,0,0
220.3689,0,0,1,1
222.4174,0,0,1,1
224.5264,0,7,0,0
226.6368,0,9,0,0
228.6803,0,0,1,1
230.6906,0,8,0,0
232.7992,0,5,0,0
234.9089,0,1,0,0
237.0107,0,0,1,1
239.0598,0,0,1,1
241.0712,0,5,0,0
243.1804,0,5,0,0
245.1923,0,6,0,0
247.3032,0,2,0,0
249.4144,0,2,0,0
251.5244,0,5,0,0
253.5426,0,0,1,1
255.5541,0,6,0,0
257.5757,0,0,1,1
259.6858,0,3,0,0
261.752,0,0,1,1
263.8633,0,4,0,0
265.877,0,1,0,0
267.8888,0,8,0,0
269.8996,0,4,0,0
272.0085,0,5,0,0
274.0945,0,0,1,1
276.1055,0,3,0,0
278.2148,0,9,0,0
280.3263,0,2,0,0
282.3408,0,6,0,0
284.3795,0,0,1,1
286.4901,0,5,0,0
288.5967,0,0,1,1
290.608,0,7,0,0
292.7129,0,0,1,1
294.7235,0,7,0,0
296.7337,0,1,0,0
298.8438,0,4,0,0
300.8566,0,3,0,0
302.9682,0,2,0,0
305.0377,0,0,1,1
307.1476,0,7,0,0
309.2592,0,1,0,0
311.2738,0,0,1,1
313.2849,0,2,0,0
315.396,0,4,0,0
317.506,0,6,0,0
319.6146,0,1,0,0
321.7242,0,8,0,0
323.8309,0,6,0,0
325.8398,0,5,0,0
327.8519,0,5,0,0
329.961,0,7,0,0
331.9716,0,8,0,0
333.9819,0,2,0,0
336.0607,0,0,1,1
338.1368,0,0,1,1
340.1491,0,4,0,0
342.1625,0,0,1,1
344.2466,0,0,1,1
346.3562,0,2,0,0
348.4669,0,2,0,0
350.5776,0,9,0,0
352.6778,0,0,1,1
354.787,0,6,0,0
356.8244,0,0,1,1
358.8614,0,0,1,1
360.972,0,5,0,0
363.0298,0,0,1,1
365.1404,0,4,0,0
367.168,0,0,1,1
369.2783,0,4,0,0
371.3772,0,0,1,1
373.4866,0,4,0,0
375.5385,0,0,1,1
377.6488,0,9,0,0
379.6603,0,9,0,0
411.8754,1,7,0,0
413.9859,1,6,0,0
416.0977,1,3,0,0
418.1103,1,2,0,0
420.1364,1,2,1,1
422.1564,1,3,0,1
424.2655,1,4,0,0
426.3617,1,4,1,1
428.472,1,3,0,0
430.518,1,3,1,1
432.6275,1,6,0,0
434.7387,1,3,0,0
436.75,1,1,0,0
438.8324,1,1,1,1
440.9432,1,7,0,0
442.9917,1,7,1,1
445.0014,1,9,0,0
447.11,1,1,0,0
449.221,1,5,0,0
451.3319,1,3,0,0
453.4414,1,8,0,0
455.4738,1,8,1,1
457.5831,1,2,0,0
459.5941,1,8,0,0
461.67,1,8,1,1
463.7621,1,8,1,1
465.8456,1,8,1,1
467.9344,1,8,1,1
470.0432,1,4,0,0
472.0927,1,4,1,1
474.1852,1,4,1,1
476.2834,1,4,1,1
478.393,1,3,0,0
480.4048,1,3,1,1
482.5154,1,4,0,0
484.5275,1,3,0,0
486.6376,1,8,0,0
488.7478,1,7,0,0
490.7788,1,7,1,1
492.7896,1,2,0,0
494.886,1,2,1,1
496.8972,1,9,0,0
499.0082,1,7,0,0
501.1087,1,7,1,1
503.1981,1,7,1,1
505.2076,1,8,0,0
507.27,1,8,1,1
509.2928,1,8,1,1
511.3505,1,8,1,1
513.4597,1,6,0,0
515.5539,1,6,1,1
517.5736,1,9,0,0
519.6238,1,9,1,1
521.6351,1,6,0,0
523.733,1,6,1,1
525.7435,1,8,0,0
527.7662,1,8,1,1
529.8765,1,3,0,0
531.9866,1,7,0,0
533.9973,1,8,0,0
536.0977,1,8,1,1
538.2062,1,0,0,0
540.3187,1,1,0,0
542.3569,1,1,1,1
544.4514,1,1,1,1
546.527,1,1,1,1
548.5377,1,7,0,0
550.5477,1,6,0,0
552.5688,1,6,1,1
554.6812,1,4,0,0
556.7925,1,7,0,0
558.8423,1,7,1,1
560.9399,1,7,1,1
562.9907,1,7,1,1
565.0991,1,1,0,0
567.1101,1,3,0,0
569.1865,1,3,1,1
571.1965,1,9,0,0
573.2537,1,9,1,1
575.3632,1,3,0,0
577.3762,1,8,0,0
579.4859,1,4,0,0
581.5895,1,4,1,1
583.7004,1,7,0,0
585.8114,1,0,0,0
587.8237,1,7,0,0
589.9338,1,5,0,0
591.9429,1,2,0,0
594.0015,1,2,1,1
596.0879,1,2,1,1
598.1182,1,2,1,1
600.2269,1,3,0,0
602.3378,1,5,0,0
604.4481,1,1,0,0
606.5161,1,1,1,1
608.6265,1,6,0,0
610.7371,1,5,0,0
612.8445,1,5,1,1
614.9549,1,1,0,0
616.9942,1,1,1,1
649.217,2,2,0,0
651.3312,2,6,0,0
653.4431,2,4,0,0
655.5316,2,6,1,1
657.624,2,4,1,1
659.6346,2,8,0,0
661.7453,2,0,0,0
663.8569,2,4,0,0
665.8696,2,0,1,0
667.9189,2,5,0,1
670.0115,2,0,1,1
672.0579,2,5,1,1
674.1246,2,0,1,1
