t_sec,O11_muM,O12_muM,O21_muM,O23_muM,O32_muM,O33_muM,O34_muM,O42_muM,O44_muM,O45_muM,O53_muM,O54_muM,O56_muM,O64_muM,O65_muM,O66_muM,O75_muM,O77_muM,O86_muM,O87_muM,D11_muM,D12_muM,D21_muM,D23_muM,D32_muM,D33_muM,D34_muM,D42_muM,D44_muM,D45_muM,D53_muM,D54_muM,D56_muM,D64_muM,D65_muM,D66_muM,D75_muM,D77_muM,D86_muM,D87_muM
0.08560073,-3.32898,-10.4243,-1.832054,1.577607,7.896554,0.765435,0.8380672,-9.45883,-13.28873,-5.51575,0.2041955,0.8955706,-0.08076207,0.5122289,6.615873,0.441983,-0.626346,-1.041498,0.3247309,-0.01144984,1.407773,-1.187296,-1.028831,0.3203854,2.047115,0.4558241,0.5747895,3.013224,7.367918,2.793625,0.3047971,0.6982302,-0.004051833,-0.1170111,-2.617961,0.2648718,-1.220636,-0.5678611,0.2578354,0.2872509
0.2135999,-3.072507,-12.06709,-1.992162,1.423026,2.321308,0.6449261,0.9277542,4.267713,10.38124,-5.92381,0.05117074,0.800749,-0.249342,0.4042512,-1.396495,0.2963042,-1.832317,-1.150156,0.2686066,-0.1038755,1.246219,2.725118,-1.038187,0.3141797,-7.219954,0.4583391,0.5943435,-7.992197,-1.315841,2.941412,0.2967756,0.6800464,-0.01623141,0.2196099,1.476993,0.2475518,-1.073506,-0.5979605,0.2541758,0.2762564
0.3415991,-2.329714,-47.42102,-1.867628,1.568051,-8.50102,0.875075,0.934911,23.05745,-3.893359,1.049965,0.4735234,0.9387655,0.08299666,0.5523415,2.484943,0.7285117,-2.191128,-0.7687558,0.5465842,0.3115386,1.342597,18.32475,-1.036541,0.3290043,3.633579,0.4668761,0.7922595,-14.92579,7.891504,-2.718206,0.3363738,0.7144233,0.01928654,0.2634493,-1.482774,0.285117,0.2045432,-0.5222842,0.2735052,0.3079431
0.4695983,-2.424252,-25.32116,-1.634974,1.868611,-22.87392,1.036314,1.119999,7.278122,11.0957,0.6875281,0.5418438,1.064692,0.1862166,0.5219836,-5.307375,0.7632713,-1.876577,-0.7204208,0.5477719,0.3207716,1.605763,3.777656,-1.000031,0.3672496,13.65683,0.4855219,0.3733532,-2.353954,1.822662,-0.3761605,0.340557,0.6495737,0.01767447,0.2628871,6.450963,0.2985279,-0.5330367,-0.5376526,0.2716916,0.309425
0.5975974,-1.786315,-38.19684,-1.618801,1.836347,-2.342362,0.9885393,1.053264,8.549829,6.313983,-1.390895,0.5266289,0.9957517,0.1658221,0.7307317,2.822086,0.7849597,-1.928191,-0.7144322,0.560616,0.3341511,0.2974551,17.90904,-1.007561,0.357638,7.74619,0.5034171,0.4871099,-0.273877,-5.498224,-0.8599014,0.3374035,0.709281,0.02026857,0.2384601,-3.786738,0.290276,0.5995861,-0.5403262,0.2687201,0.3129399
0.7255966,-4.387511,-2.290906,-1.644729,1.797369,-0.01898343,0.9792286,1.027705,-9.57727,1.093351,2.159937,0.4195224,0.9807774,0.09191222,0.02306898,-1.154146,0.6696984,-2.851887,-0.8086498,0.4714495,0.2147279,1.575773,5.410632,-1.002667,0.3519135,-8.181341,0.4797223,0.6387663,6.984064,3.869859,-1.029487,0.3225459,0.6637967,0.009684001,0.4986326,4.281591,0.2965451,0.2275839,-0.550644,0.2643882,0.3067491
0.8535958,-0.9473482,14.39286,-1.777866,1.624511,10.98505,0.821233,0.876371,-5.664903,-7.503258,1.544305,0.2558312,0.9394758,-0.05713128,0.402238,0.7380983,0.5127764,-2.064368,-0.9300792,0.3732102,0.06755423,-0.3684093,-10.87674,-1.019447,0.3341253,-3.49964,0.4715692,0.5822557,-3.702915,5.622094,-2.027655,0.3110947,0.6736243,0.0006843174,0.2170574,3.905808,0.2829357,0.1708988,-0.5751218,0.2585397,0.3000772
0.9815949,-2.238163,11.17144,-1.928164,1.47309,1.154018,0.6821172,0.1591922,18.48338,8.353164,-0.8687982,0.10038,0.8249882,-0.2071083,0.2397711,5.65143,0.3583049,-1.902263,-1.114047,0.2649788,-0.07498591,-0.4306894,-3.608033,-1.032256,0.3254046,-3.636633,0.4598638,0.9707489,-19.35562,-3.471437,-0.6600186,0.2999279,0.6664968,-0.01418386,0.114007,-1.75157,0.2643809,-0.5424993,-0.5660472,0.2572518,0.2915418
1.109594,-2.61025,-19.27948,-2.065127,1.359315,-0.4883565,0.5690989,0.8007759,-5.977186,-3.006222,-4.271715,0.1518606,0.7585104,-0.190213,0.2648684,-13.11421,0.5584723,-2.463875,-0.8368839,0.4824733,0.2485441,0.2266943,3.652364,-1.050051,0.3095197,-2.308721,0.4761396,0.6076509,4.15021,-9.143361,0.08966143,0.3131128,0.7003574,0.001868829,0.4637277,9.217495,0.2695577,-0.566925,-0.54023,0.2679814,0.3008558
1.237593,-3.14482,0.2111674,-1.662226,1.855609,5.732625,1.003385,0.6849601,-12.98386,-5.654155,3.489546,0.5227897,1.004507,0.142762,0.2430816,15.55755,0.770597,-1.329751,-0.7088022,0.5605643,0.346453,0.4112105,1.758946,-1.015367,0.3540746,5.597999,0.493497,0.7609156,13.86363,1.083146,-2.228191,0.3336035,0.7027229,0.01684513,0.3631247,-11.4736,0.2867841,0.1779173,-0.5140057,0.2716894,0.3133297
1.365592,-2.47275,10.17666,-1.638953,1.851373,1.355392,0.9300315,0.6439787,-3.833489,-8.760863,0.5528389,0.5067586,1.046897,0.1438455,0.4305533,-7.34577,0.7381552,-3.09607,-0.7338139,0.5438376,0.3346262,0.7802829,-4.739122,-0.9984815,0.3511305,-8.92659,0.5054308,0.7390036,5.573833,6.116183,-2.587886,0.329217,0.6588442,0.007848591,0.3117786,0.1478003,0.2987548,-0.1696608,-0.5060645,0.2755244,0.3112995
1.493592,-0.3732851,6.573062,-1.63156,1.843252,0.6497456,0.9887075,0.73208,6.327693,-1.448829,3.464485,0.4693607,1.015758,0.1121727,0.681437,-3.6535,0.6854446,-1.842345,-0.7189326,0.4961688,0.2683282,-1.454553,3.182747,-1.004495,0.3503228,-5.19595,0.4805643,0.8385789,-1.239927,-0.6568159,-4.181188,0.3255552,0.6842659,0.01830239,0.1038065,2.900368,0.2926408,-0.7766761,-0.5481147,0.2689402,0.3102349
1.621591,-2.257456,7.327152,-1.735085,1.703634,9.593903,0.8492729,1.181347,-6.590925,3.849939,-0.6089857,0.3130183,0.9271303,-0.003159866,0.3631456,-6.660671,0.5421165,-1.625418,-0.9125198,0.3983316,0.1055275,0.6334041,-8.656513,-1.012347,0.3405004,-4.186999,0.4752818,0.522716,-3.208642,5.093344,-1.180792,0.315546,0.6805638,0.004288269,0.1143278,-0.0705086,0.2766487,0.1208755,-0.5307227,0.2626953,0.3063278
1.74959,-1.759348,-1.114788,-1.880696,1.545532,5.469029,0.678439,1.031621,5.47224,10.999,0.6395317,0.152906,0.823195,-0.1522508,0.5752556,-10.92466,0.3970346,-2.752934,-1.07356,0.3066791,-0.02620823,0.9389628,-10.83667,-1.028528,0.3259851,5.168045,0.4771138,0.4369003,0.9777352,-2.194275,-0.9940936,0.3085773,0.7012643,-0.004188738,0.1112903,7.071922,0.2646186,0.5789245,-0.5424271,0.2567327,0.2932897
1.877589,-2.049106,-3.010513,-2.020113,1.402528,9.584552,0.6097713,0.5096211,-13.0357,15.78048,-3.684204,0.01971975,0.6556841,-0.3113311,-0.0316276,-3.395183,0.2838497,-2.017836,-1.098765,0.3072679,0.006050491,0.1680911,8.495108,-1.037691,0.3201322,0.5109388,0.4388154,0.8804752,6.355514,-6.666339,0.5841485,0.2962505,0.7043335,-0.009652643,0.1727883,-1.969287,0.2573251,-0.9781972,-0.558213,0.2639183,0.2848953
2.005588,-1.523312,-0.4204015,-1.800404,1.68428,-26.54389,0.8853484,1.106173,-2.794397,10.50605,-4.382594,0.4621262,0.9843513,0.07343265,0.7124583,-4.216462,0.6848696,-2.207889,-0.7361752,0.511898,0.2962568,-0.4875139,7.223813,-1.016068,0.344565,17.35044,0.4802428,0.5091009,5.15976,-10.80393,2.111421,0.3367452,0.66589,0.01527999,-0.1094996,0.8853148,0.2805344,-0.1562545,-0.5254593,0.2751307,0.3088526
2.133588,-2.405347,-2.771722,-1.687061,1.800015,2.763437,0.9026224,0.9214858,11.41276,-19.83248,-2.268914,0.4406221,0.9651245,0.07172038,0.5790951,-1.46569,0.6945345,-2.151696,-0.791954,0.5011066,0.279789,0.8948058,-2.027141,-1.002476,0.3582529,-3.869762,0.5059712,0.5535234,-7.14219,10.20636,0.2528514,0.3307454,0.6971098,0.01495581,0.4851784,-1.152496,0.2781586,0.7799464,-0.5092504,0.2744816,0.3126085
2.261587,-2.381001,5.906712,-1.677674,1.776991,4.260746,0.9092321,0.807313,11.92004,-4.886859,-0.2196729,0.4512683,0.9789505,0.08790158,0.09422224,5.50298,0.6744875,-3.177487,-0.7539052,0.4966658,0.2760569,-0.2519651,1.125883,-1.00521,0.3538022,-4.851868,0.4987999,0.794422,-8.920406,8.166859,-1.067061,0.3300463,0.6694127,0.01832357,0.7974554,-3.806206,0.2955609,0.4931076,-0.535099,0.2723083,0.3201932
2.389586,-2.17789,-0.5433524,-1.713531,1.691294,3.496337,0.8385412,1.016807,2.556952,11.18532,-1.243918,0.3183639,0.9619473,-0.005339162,-0.114971,-1.556389,0.5934974,-2.761798,-0.8667089,0.4069971,0.1660737,0.1943941,-5.497298,-1.004123,0.3530071,1.513716,0.4825464,0.7216559,3.302634,-9.378315,-1.100506,0.3259698,0.6421821,0.00993323,0.7012584,3.691173,0.2730416,0.7345318,-0.542737,0.2695994,0.3103919
2.517585,-2.790007,14.59494,-1.820427,1.535068,-7.865856,0.7134514,0.535271,-16.58509,6.234831,-1.494749,0.1854172,0.8083371,-0.148842,0.3129349,-5.367585,0.4281311,-2.7917,-0.9783978,0.3134904,0.004220284,1.009185,-8.360106,-1.030313,0.3415006,5.078022,0.4766005,0.7786531,5.273216,-7.637561,-0.7433425,0.3112419,0.6795346,0.002300762,0.2836584,-2.992109,0.2686794,0.5363898,-0.5775794,0.2661422,0.3137098
2.645584,-2.765543,-3.923132,-1.969386,1.407026,14.9875,0.6055856,0.7259591,11.41245,-2.376914,2.366812,0.04462202,0.7536585,-0.2786022,-0.1034177,-0.5323702,0.3065107,-1.276833,-1.148903,0.2383951,-0.1008481,0.3739689,9.30546,-1.030194,0.3275909,-5.362706,0.4694808,0.5369751,-4.134888,-3.192822,-2.77334,0.3023086,0.6700597,-0.01120289,0.5434888,2.73125,0.2563445,-0.6437115,-0.5645274,0.2626029,0.297207
2.773583,-2.214474,-12.82031,-1.952766,1.436654,8.86876,0.6977559,0.3284819,-18.2034,9.762257,-0.1740447,0.369631,0.9398177,-0.02087706,0.3861513,-7.448002,0.6588205,-0.7608482,-0.7687581,0.5053201,0.2701319,0.2382219,-0.3252453,-1.03708,0.3319117,-6.493324,0.4867151,0.8398849,3.592615,-4.016034,-0.5521329,0.3338825,0.6357207,0.0146279,0.1967635,5.437051,0.2760002,-1.273098,-0.5253438,0.2745678,0.3261324
2.901582,-2.538495,6.687985,-1.67954,1.78077,11.61675,0.9156872,0.8691764,-14.4584,13.18122,-5.141967,0.4695339,0.898311,0.08053368,0.7982392,8.36669,0.7211737,-2.01708,-0.7427117,0.4932558,0.2852504,0.4691712,-11.46026,-0.9928276,0.3678836,-3.642182,0.499778,0.917989,10.21224,-3.798733,1.382177,0.3440434,0.7033085,0.03359467,-0.02559479,-7.015063,0.2793877,-0.1269053,-0.5244637,0.2799751,0.3254931
3.029582,-3.009707,11.12329,-1.68113,1.745331,-7.584227,0.9272805,0.7441645,6.965908,0.1807443,-1.069882,0.4728031,0.946977,0.09548751,0.5404345,-1.168701,0.7160289,-1.828166,-0.7300947,0.5063339,0.2915986,0.9631873,-14.78926,-0.9858751,0.3653432,4.500204,0.4929972,1.001723,-4.020665,4.790612,-0.1077405,0.3350083,0.6825726,0.02466351,0.1438933,-3.885205,0.294663,0.02311759,-0.5230787,0.2795671,0.3284585
3.157581,-3.95802,-21.35409,-1.666084,1.720817,1.299475,0.8787665,0.8409738,7.102516,-13.82025,0.4400981,0.3836149,0.9819741,0.03543153,-0.1566742,6.966045,0.6295858,-1.122753,-0.8229806,0.428906,0.1964723,2.090831,14.91803,-0.9970002,0.3634161,-4.813874,0.5031755,0.6817443,-8.551355,9.53555,-0.8136458,0.3283034,0.6710413,0.02132725,0.6320061,-1.277076,0.2917346,-1.247098,-0.5403893,0.279183,0.3244511
3.28558,-1.835995,-17.17396,-1.805796,1.576862,15.71343,0.7303599,0.7801413,14.02045,2.398318,2.154964,0.2193332,0.894496,-0.1020459,-0.07216898,0.9247298,0.483643,-3.407945,-0.9660261,0.336201,0.05473118,0.2152771,0.9309474,-0.9905522,0.3491217,-5.81633,0.5009529,0.5697336,-2.895681,-0.6579923,-1.431123,0.3249085,0.6447842,0.009696459,0.6094167,-4.87148,0.2795904,2.195532,-0.5477728,0.2708431,0.3150658
3.413579,-2.155761,9.25454,-1.922409,1.435707,5.699125,0.6243069,0.7751363,4.457907,-7.554865,-0.8472372,0.1034842,0.7750558,-0.242587,0.5362982,-8.384868,0.3537963,-3.375062,-1.094798,0.2498558,-0.07804383,0.6956221,-9.319423,-1.017431,0.3386306,-1.404517,0.4917619,0.5930074,1.058077,-7.076136,-1.643555,0.3097245,0.6765392,0.006364712,0.03319462,4.479056,0.2721963,-0.4785038,-0.5663056,0.264795,0.307377
3.541578,-1.708376,10.74395,-2.067439,1.305313,4.641012,0.5470996,0.6734096,8.403545,9.233438,-6.484838,0.03020605,0.7204536,-0.305137,0.3527342,-0.7999535,0.3761133,-1.531562,-0.9769704,0.3990932,0.1500173,-0.8621398,-8.897852,-1.026214,0.3218071,-11.87107,0.4758307,0.6488487,3.433425,0.7110605,2.059282,0.311494,0.6852202,0.004398807,0.05962417,-5.979088,0.2824893,-2.275017,-0.5216662,0.2757851,0.3176042
3.669578,-2.117058,1.962531,-1.69404,1.763317,16.27335,0.9397419,0.758972,-9.387096,-18.60806,1.821168,0.5070073,0.9866278,0.1135007,0.1935542,-7.506603,0.7605681,-2.659738,-0.7276786,0.5391644,0.3442781,0.1453467,-0.7995898,-0.9997053,0.3743852,-14.67125,0.5075969,0.6076134,5.717429,10.62103,-2.130161,0.3493906,0.6787303,0.03015633,0.5870927,1.836505,0.2918967,0.3112263,-0.4996333,0.2847843,0.3330206
3.797577,-3.645067,-8.661348,-1.634425,1.829121,13.89695,0.9638145,1.132676,16.60071,-8.33553,-3.935734,0.5062171,0.9667837,0.1284591,0.581303,-3.208318,0.7554423,-3.624072,-0.7000694,0.5437073,0.3413765,1.623328,5.861308,-0.9731048,0.3801062,-8.201579,0.5232664,0.5624641,-8.812957,1.539347,0.3343655,0.3497626,0.7160165,0.03777544,0.215306,-4.149715,0.3042224,1.048554,-0.5124124,0.2854773,0.3343287
