t_sec,nBack,number,expectedResponse,actualResponse
174.2337,0,6,0,0
176.3699,0,0,1,1
178.4899,0,0,1,1
180.6049,0,2,0,0
182.723,0,2,0,0
184.7697,0,0,1,1
186.856,0,0,1,1
188.9696,0,1,0,0
191.0803,0,9,0,0
193.1933,0,1,0,0
195.3033,0,8,0,0
197.4401,0,0,1,1
199.5507,0,1,0,0
201.6628,0,3,0,0
203.7762,0,8,0,0
205.8885,0,8,0,0
207.983,0,0,1,1
210.1196,0,0,1,1
212.2316,0,3,0,0
214.3459,0,4,0,0
216.4589,0,5,0,0
218.5731,0,6,0,0
220.609,0,0,1,1
222.7108,0,0,1,1
224.8206,0,7,0,0
226.936,0,9,0,0
229.0605,0,0,1,1
231.1699,0,8,0,0
233.2836,0,5,0,0
235.3979,0,1,0,0
237.5324,0,0,1,1
239.661,0,0,1,1
241.7732,0,5,0,0
243.8903,0,5,0,0
246.0025,0,6,0,0
248.1113,0,2,0,0
250.2205,0,2,0,0
252.3313,0,5,0,0
254.4643,0,0,1,1
256.5766,0,6,0,0
258.6646,0,0,1,1
260.778,0,3,0,0
262.8953,0,0,1,1
265.0076,0,4,0,0
267.1168,0,1,0,0
269.2299,0,8,0,0
271.3437,0,4,0,0
273.4565,0,5,0,0
275.5607,0,0,1,1
277.674,0,3,0,0
279.7874,0,9,0,0
281.8995,0,2,0,0
284.0119,0,6,0,0
286.1102,0,0,1,1
288.2227,0,5,0,0
290.2673,0,0,1,1
292.3794,0,7,0,0
294.4969,0,0,1,1
296.6075,0,7,0,0
298.7195,0,1,0,0
300.8335,0,4,0,0
302.9455,0,3,0,0
305.0557,0,2,0,0
307.1487,0,0,1,1
309.2599,0,7,0,0
311.3707,0,1,0,0
313.4882,0,0,1,1
315.6002,0,2,0,0
317.7111,0,4,0,0
319.8234,0,6,0,0
321.9338,0,1,0,0
324.0464,0,8,0,0
326.1539,0,6,0,0
328.2645,0,5,0,0
330.3766,0,5,0,0
332.489,0,7,0,0
334.6002,0,8,0,0
336.7144,0,2,0,0
338.8203,0,0,1,1
340.8924,0,0,1,1
343.0037,0,4,0,0
345.0708,0,0,1,1
347.1261,0,0,1,1
349.239,0,2,0,0
351.3493,0,2,0,0
353.4605,0,9,0,0
355.5762,0,0,1,1
357.689,0,6,0,0
359.8074,0,0,1,1
361.9412,0,0,1,1
364.0553,0,5,0,0
366.0999,0,0,1,1
368.2102,0,4,0,0
370.3372,0,0,1,1
372.4501,0,4,0,0
374.5853,0,0,1,1
376.6988,0,4,0,0
378.7809,0,0,1,1
380.8938,0,9,0,0
383.0047,0,9,0,0
415.2598,1,7,0,0
417.37,1,6,0,0
419.4831,1,3,0,0
421.5941,1,2,0,0
423.7115,1,2,1,1
425.8274,1,3,0,0
427.9391,1,4,0,0
430.0398,1,4,1,1
432.1496,1,3,0,0
434.2465,1,3,1,1
436.3584,1,6,0,0
438.4702,1,3,0,0
440.5853,1,1,0,0
442.7367,1,1,1,1
444.8491,1,7,0,0
446.9951,1,7,1,1
449.1049,1,9,0,0
451.2154,1,1,0,0
453.3241,1,5,0,0
455.4366,1,3,0,0
457.5466,1,8,0,0
459.6431,1,8,1,1
461.7572,1,2,0,0
463.8705,1,8,0,0
465.9877,1,8,1,1
468.0902,1,8,1,1
470.2077,1,8,1,1
472.2892,1,8,1,1
474.3998,1,4,0,0
476.4701,1,4,1,1
478.5575,1,4,1,1
480.6725,1,4,1,1
482.7824,1,3,0,0
484.9129,1,3,1,1
487.0238,1,4,0,0
489.1324,1,3,0,0
491.2414,1,8,0,0
493.3509,1,7,0,0
495.4013,1,7,1,1
497.5114,1,2,0,0
499.5789,1,2,1,1
501.6921,1,9,0,0
503.804,1,7,0,0
505.904,1,7,1,1
508.0187,1,7,1,1
510.1332,1,8,0,0
512.2202,1,8,1,1
514.3135,1,8,1,1
516.4042,1,8,1,1
518.5151,1,6,0,0
520.6039,1,6,1,1
522.7159,1,9,0,0
524.8519,1,9,1,1
526.9639,1,6,0,0
529.1058,1,6,1,1
531.2169,1,8,0,0
533.3513,1,8,1,1
535.463,1,3,0,0
537.5751,1,7,0,0
539.6871,1,8,0,0
541.7982,1,8,1,1
543.9097,1,0,0,0
546.0251,1,1,0,0
548.1019,1,1,1,1
550.235,1,1,1,1
552.3,1,1,1,1
554.4143,1,7,0,0
556.5253,1,6,0,0
558.626,1,6,1,1
560.7388,1,4,0,0
562.8507,1,7,0,0
564.9859,1,7,1,1
567.103,1,7,1,1
569.1755,1,7,1,1
571.287,1,1,0,0
573.3984,1,3,0,0
575.4993,1,3,1,1
577.6132,1,9,0,0
579.7104,1,9,1,1
581.8208,1,3,0,0
583.9324,1,8,0,0
586.0439,1,4,0,0
588.1963,1,4,1,1
590.3085,1,7,0,0
592.4201,1,0,0,0
594.5306,1,7,0,0
596.6456,1,5,0,0
