t_sec,nBack,number,expectedResponse,actualResponse
310.4825,0,6,0,0
312.595,0,1,0,0
314.7068,0,1,0,0
316.8557,0,0,1,1
318.9717,0,6,0,0
321.0626,0,0,1,1
323.1904,0,0,1,1
325.3004,0,8,0,0
327.411,0,3,0,0
329.5228,0,3,0,0
331.5941,0,0,1,1
333.705,0,2,0,0
335.8132,0,7,0,0
337.924,0,3,0,0
340.0136,0,0,1,1
342.123,0,5,0,0
344.232,0,5,0,0
346.318,0,0,1,1
348.4281,0,9,0,0
350.5666,0,0,1,1
352.6533,0,0,1,1
354.7335,0,0,1,1
356.8407,0,5,0,0
358.9194,0,0,1,1
361.0326,0,9,0,0
363.1427,0,2,0,0
365.2593,0,5,0,0
367.3676,0,7,0,0
369.5113,0,0,1,1
371.6209,0,7,0,0
373.7314,0,1,0,0
375.8429,0,5,0,0
377.9525,0,8,0,0
380.0591,0,9,0,0
382.1666,0,1,0,0
384.2764,0,4,0,0
386.4103,0,0,1,1
388.4722,0,0,1,0
390.5812,0,5,0,0
392.6934,0,1,0,0
394.8076,0,3,0,0
396.9182,0,8,0,0
399.0303,0,5,0,0
401.1253,0,0,1,1
403.2356,0,7,0,0
405.3462,0,7,0,0
407.4509,0,0,1,1
409.5618,0,6,0,0
411.6712,0,8,0,0
413.7808,0,1,0,0
415.8298,0,0,1,1
417.9411,0,3,0,0
420.0514,0,3,0,0
422.1636,0,6,0,0
424.276,0,1,0,0
426.3891,0,6,0,0
428.4631,0,0,1,1
430.5432,0,0,1,1
432.6525,0,4,0,0
434.7338,0,0,1,1
436.8433,0,7,0,0
438.954,0,5,0,0
441.0617,0,0,1,1
443.1338,0,0,1,1
445.2425,0,7,0,0
447.3774,0,0,1,1
449.487,0,8,0,0
451.5993,0,7,0,0
453.7095,0,5,0,0
455.8212,0,7,0,0
457.8889,0,0,1,1
459.9774,0,0,1,1
462.0934,0,0,1,1
464.2007,0,8,0,0
466.2454,0,1,0,1
468.3552,0,1,0,0
470.4646,0,1,0,0
472.5752,0,4,0,0
474.6447,0,0,1,1
476.7532,0,5,0,0
478.8569,0,0,1,1
480.9673,0,2,0,0
483.0762,0,7,0,0
485.1668,0,0,1,1
487.217,0,0,1,1
489.286,0,0,1,1
491.3942,0,5,0,0
493.5049,0,8,0,0
495.6142,0,5,0,0
497.6711,0,0,1,1
499.7425,0,0,1,1
501.8518,0,3,0,0
503.89,0,0,1,1
505.9823,0,0,1,1
508.1142,0,0,1,1
510.2411,0,0,1,1
512.3508,0,7,0,0
514.4604,0,4,0,0
516.572,0,1,0,0
518.684,0,5,0,0
550.9328,1,6,0,0
553.0447,1,0,0,0
555.1789,1,0,1,1
557.2903,1,2,0,0
559.3998,1,8,0,0
561.5105,1,3,0,0
563.6191,1,5,0,0
565.727,1,5,1,1
567.8355,1,2,0,0
569.9221,1,2,1,1
572.0322,1,6,0,0
574.1429,1,3,0,0
576.2653,1,3,1,1
578.3771,1,4,0,0
580.4867,1,8,0,0
582.5974,1,5,0,0
584.7074,1,9,0,0
586.8143,1,9,1,1
588.9229,1,5,0,0
591.0322,1,0,0,0
593.0787,1,0,1,1
595.1888,1,8,0,0
597.2691,1,8,1,1
599.33,1,8,1,1
601.44,1,4,0,0
603.5498,1,3,0,0
605.6586,1,8,0,0
607.7697,1,0,0,0
609.8804,1,8,0,0
611.9905,1,6,0,0
614.1011,1,8,0,0
616.2097,1,5,0,0
618.3411,1,5,1,1
620.4658,1,5,1,1
622.5752,1,3,0,0
624.6854,1,4,0,0
626.7886,1,4,1,1
628.8995,1,3,0,0
631.0068,1,2,0,0
633.1173,1,8,0,0
635.2156,1,8,1,1
637.2731,1,8,1,1
639.3823,1,6,0,0
641.4927,1,2,0,0
643.6068,1,2,1,1
645.7628,1,2,1,1
647.8732,1,3,0,0
649.9503,1,3,1,1
652.0164,1,3,1,1
654.129,1,6,0,0
656.2403,1,9,0,0
658.3484,1,4,0,0
660.4591,1,2,0,0
662.568,1,1,0,0
664.6487,1,1,1,1
666.7436,1,1,1,1
668.8135,1,1,1,1
670.925,1,5,0,0
673.0361,1,3,0,0
675.1442,1,5,0,0
677.2545,1,2,0,0
679.3866,1,2,1,1
