t_sec,nBack,number,expectedResponse,actualResponse
170.3229,0,9,0,0
172.458,0,0,1,1
174.5663,0,5,0,0
176.6952,0,0,1,1
178.7692,0,0,1,1
180.8805,0,6,0,0
182.9924,0,1,0,0
185.1018,0,8,0,0
187.2109,0,2,0,0
189.321,0,3,0,0
191.431,0,5,0,0
193.542,0,8,0,0
195.6523,0,3,0,0
197.7685,0,6,0,0
199.879,0,5,0,0
201.9885,0,8,0,0
204.1001,0,1,0,0
206.2102,0,7,0,0
208.3221,0,5,0,0
210.4332,0,6,0,0
212.5445,0,1,0,0
214.6548,0,3,0,0
216.7655,0,2,0,0
218.8546,0,0,1,1
220.9561,0,0,1,1
223.0701,0,8,0,0
225.1599,0,0,1,1
227.2714,0,8,0,0
229.4027,0,0,1,1
231.5005,0,0,1,1
233.611,0,1,0,0
235.7224,0,6,0,0
237.8338,0,8,0,0
239.9351,0,0,1,1
242.0631,0,0,1,1
244.1738,0,4,0,0
246.2397,0,0,1,1
248.3711,0,0,1,1
250.4704,0,0,1,1
252.5813,0,4,0,0
254.6922,0,3,0,0
256.8004,0,2,0,0
258.9098,0,7,0,0
261.0191,0,6,0,0
263.1308,0,6,0,0
265.2408,0,3,0,0
267.3865,0,0,1,1
269.497,0,2,0,0
271.6068,0,7,0,0
273.7159,0,8,0,0
275.8301,0,0,1,1
277.8857,0,0,1,1
279.9964,0,1,0,0
282.1093,0,4,0,0
284.2137,0,0,1,1
286.3208,0,2,0,0
288.4228,0,0,1,1
290.5322,0,1,0,0
292.6277,0,0,1,1
294.7445,0,0,1,1
296.8569,0,6,0,0
298.9859,0,0,1,1
301.095,0,7,0,0
303.1723,0,0,1,1
305.2843,0,4,0,0
307.395,0,6,0,0
309.5031,0,7,0,0
311.6131,0,7,0,0
313.6617,0,0,1,1
315.7698,0,4,0,0
317.8828,0,5,0,0
319.9392,0,0,1,1
322.0509,0,2,0,0
324.0959,0,0,1,1
326.2121,0,0,1,1
328.3237,0,4,0,0
330.4332,0,7,0,0
332.5443,0,3,0,0
334.6556,0,2,0,0
336.7298,0,0,1,1
338.8672,0,0,1,1
340.984,0,0,1,1
343.0947,0,1,0,0
345.2061,0,8,0,0
347.3172,0,4,0,0
349.4265,0,9,0,0
351.5356,0,5,0,0
353.6393,0,0,1,1
355.7507,0,5,0,0
357.8348,0,0,1,1
359.9443,0,5,0,0
362.0543,0,8,0,0
364.1653,0,6,0,0
366.2783,0,1,0,0
368.3883,0,4,0,0
370.4998,0,6,0,0
372.6098,0,1,0,0
374.721,0,4,0,0
376.833,0,5,0,0
