t_sec,nBack,number,expectedResponse,actualResponse
201.0995,0,9,0,0
203.1675,0,0,1,1
205.2795,0,5,0,0
207.3365,0,0,1,1
209.3937,0,0,1,1
211.5019,0,6,0,0
213.6108,0,1,0,0
215.7213,0,8,0,0
217.8341,0,2,0,0
219.9434,0,3,0,0
222.0533,0,5,0,0
224.1647,0,8,0,0
226.2765,0,3,0,0
228.3851,0,6,0,0
230.4978,0,5,0,0
232.6084,0,8,0,0
234.7174,0,1,0,0
236.8259,0,7,0,0
238.9359,0,5,0,0
241.0483,0,6,0,0
243.1577,0,1,0,0
245.2684,0,3,0,0
247.3783,0,2,0,0
249.502,0,0,1,1
251.6054,0,0,1,1
253.7123,0,8,0,0
255.8222,0,0,1,1
257.9335,0,8,0,0
260.0456,0,0,1,1
262.1843,0,0,1,1
264.2924,0,1,0,0
266.4068,0,6,0,0
268.5174,0,8,0,0
270.5738,0,0,1,1
272.6226,0,0,1,1
274.7333,0,4,0,0
276.8673,0,0,1,1
278.9771,0,0,1,1
281.1148,0,0,1,1
283.2243,0,4,0,0
285.3363,0,3,0,0
287.4451,0,2,0,0
289.5578,0,7,0,0
291.6686,0,6,0,0
293.7783,0,6,0,0
295.888,0,3,0,0
298.0156,0,0,1,1
300.1263,0,2,0,0
302.2367,0,7,0,0
304.3468,0,8,0,0
306.469,0,0,1,1
308.5953,0,0,1,1
310.7061,0,1,0,0
312.8174,0,4,0,0
314.9142,0,0,1,1
317.0251,0,2,0,0
319.1142,0,0,1,1
321.2232,0,1,0,0
323.2918,0,0,1,1
325.402,0,0,1,1
327.5108,0,6,0,0
329.6341,0,0,1,1
331.746,0,7,0,0
333.8404,0,0,1,1
335.9523,0,4,0,0
338.0621,0,6,0,0
340.1727,0,7,0,0
342.2849,0,7,0,0
344.4094,0,0,1,1
346.5201,0,4,0,0
348.6315,0,5,0,0
350.6705,0,0,1,1
352.7796,0,2,0,0
354.8976,0,0,1,1
357.0022,0,0,1,1
359.1112,0,4,0,0
361.2226,0,7,0,0
363.3332,0,3,0,0
365.4434,0,2,0,0
367.5782,0,0,1,1
369.6666,0,0,1,1
371.739,0,0,1,1
373.8487,0,1,0,0
375.9581,0,8,0,0
378.0705,0,4,0,0
380.1815,0,9,0,0
382.2924,0,5,0,0
384.3583,0,0,1,1
386.4695,0,5,0,0
388.5505,0,0,1,1
390.6627,0,5,0,0
392.7732,0,8,0,0
394.8842,0,6,0,0
396.9954,0,1,0,0
399.1059,0,4,0,0
401.2149,0,6,0,0
403.3257,0,1,0,0
405.437,0,4,0,0
407.5478,0,5,0,0
409.6136,0,0,1,1
441.8545,1,8,0,0
443.9242,1,8,1,1
446.0349,1,2,0,0
448.1065,1,2,1,1
450.1941,1,2,1,1
452.3034,1,6,0,0
454.4124,1,0,0,0
456.5484,1,0,1,1
458.6571,1,1,0,0
460.7669,1,6,0,0
462.8787,1,3,0,0
464.9251,1,3,1,1
467.0384,1,8,0,0
469.1485,1,4,0,0
471.2099,1,4,1,1
473.3204,1,1,0,0
475.4322,1,6,0,0
477.5417,1,8,0,0
479.6529,1,2,0,0
481.7643,1,8,0,0
483.8737,1,1,0,0
485.9827,1,2,0,0
488.0938,1,6,0,0
490.2052,1,7,0,0
492.318,1,2,0,0
494.4283,1,1,0,0
496.5263,1,1,1,1
498.6371,1,7,0,0
500.7464,1,5,0,0
502.8575,1,3,0,0
505.0276,1,3,1,1
507.136,1,2,0,0
509.2431,1,1,0,0
511.354,1,2,0,0
513.465,1,7,0,0
515.5767,1,2,0,0
517.6838,1,2,1,1
519.7954,1,6,0,0
521.9054,1,4,0,0
524.0154,1,7,0,0
526.1265,1,5,0,0
528.2616,1,5,1,1
530.3727,1,6,0,0
532.483,1,8,0,0
534.5936,1,5,0,0
536.658,1,5,1,1
538.7674,1,9,0,0
540.8898,1,9,1,1
542.9574,1,9,1,1
545.0687,1,2,0,0
547.1794,1,9,0,0
549.2824,1,9,1,1
551.3932,1,3,0,0
553.5035,1,1,0,0
555.6158,1,9,0,0
557.7273,1,3,0,0
559.8599,1,3,1,1
561.9697,1,3,1,1
564.0894,1,3,1,1
566.1994,1,0,0,0
568.307,1,9,0,0
570.3904,1,9,1,1
572.4992,1,2,0,0
574.6097,1,9,0,0
576.7184,1,1,0,0
578.799,1,1,1,1
580.9148,1,1,1,1
583.0237,1,5,0,0
585.1343,1,2,0,0
587.2499,1,2,1,1
589.3265,1,2,1,1
591.4376,1,9,0,0
593.5451,1,9,1,1
595.655,1,0,0,0
597.7334,1,0,1,1
599.8104,1,0,1,1
601.9194,1,2,0,0
604.0364,1,4,0,0
606.1457,1,7,0,0
608.2813,1,7,1,1
610.3901,1,2,0,0
612.4815,1,2,1,1
614.5876,1,2,1,1
616.6959,1,5,0,0
618.8058,1,4,0,0
620.8458,1,4,1,1
622.9557,1,8,0,0
625.0815,1,8,1,1
627.1925,1,2,0,0
629.3043,1,6,0,0
631.41,1,6,1,1
633.5209,1,5,0,0
635.6305,1,4,0,0
637.737,1,4,1,1
639.8267,1,4,1,1
641.9351,1,6,0,0
644.0464,1,2,0,0
646.1558,1,8,0,0
648.2653,1,6,0,0
650.3221,1,6,1,1
682.6697,2,5,0,0
684.782,2,9,0,0
686.8889,2,5,1,1
688.9979,2,5,0,0
691.0854,2,5,1,1
693.1988,2,7,0,0
695.2535,2,5,1,1
697.374,2,7,1,1
699.4863,2,8,0,0
701.5965,2,1,0,0
703.7089,2,2,0,0
705.8194,2,7,0,0
707.8779,2,2,1,1
710.0031,2,7,1,1
712.1158,2,1,0,0
714.249,2,7,1,1
716.3378,2,1,1,1
718.4467,2,4,0,0
720.5555,2,7,0,0
722.6651,2,5,0,0
724.7731,2,5,0,0
726.8809,2,8,0,0
729.0084,2,5,1,1
731.1218,2,8,1,1
733.2316,2,3,0,0
735.3462,2,8,1,1
737.4563,2,7,0,0
739.5067,2,8,1,1
741.6163,2,4,0,0
743.7224,2,5,0,0
745.8323,2,3,0,0
747.9386,2,5,1,1
750.0171,2,3,1,1
752.1267,2,7,0,0
754.2386,2,0,0,0
756.311,2,7,1,1
758.4222,2,9,0,0
760.5345,2,3,0,0
762.6484,2,1,0,0
764.7603,2,6,0,0
766.8711,2,4,0,0
768.9432,2,6,1,1
771.0551,2,3,0,0
773.2156,2,6,1,1
775.3452,2,3,1,1
777.4688,2,6,1,1
779.5778,2,2,0,0
781.6856,2,2,0,0
783.7949,2,5,0,0
785.9039,2,7,0,0
787.9672,2,5,1,1
790.0251,2,7,1,1
792.1375,2,3,0,0
794.2487,2,6,0,0
796.3591,2,8,0,0
798.4692,2,5,0,0
800.5914,2,8,1,1
802.7043,2,0,0,0
804.8145,2,6,0,0
806.9258,2,0,1,1
809.0342,2,7,0,0
811.1426,2,2,0,0
813.2548,2,7,1,1
815.3649,2,8,0,0
817.4742,2,3,0,0
819.5841,2,8,1,1
821.6957,2,8,0,0
823.8093,2,7,0,0
825.9216,2,5,0,0
828.0309,2,1,0,0
830.1426,2,3,0,0
832.269,2,1,1,1
834.3783,2,5,0,0
836.4979,2,4,0,0
838.5892,2,5,1,1
840.7493,2,4,1,1
842.8599,2,3,0,0
845.0213,2,4,1,1
847.1354,2,0,0,0
849.2567,2,4,1,1
851.3409,2,0,1,1
853.4504,2,2,0,0
855.5066,2,0,1,1
857.6183,2,8,0,0
859.6893,2,0,1,1
861.7997,2,6,0,0
863.8936,2,0,1,1
865.962,2,6,1,1
868.0087,2,0,1,1
870.118,2,6,1,0
872.2178,2,0,1,1
874.2604,2,6,1,1
876.3215,2,0,1,1
878.4355,2,5,0,0
880.5489,2,2,0,0
882.6753,2,5,1,1
884.7462,2,2,1,1
886.8553,2,7,0,0
888.9683,2,2,1,0
891.0814,2,4,0,0
923.3168,3,2,0,0
925.4277,3,2,0,0
927.5408,3,2,0,0
929.6752,3,2,1,1
931.7784,3,2,1,1
933.89,3,8,0,0
935.9991,3,3,0,0
938.1082,3,8,0,0
940.2167,3,5,0,0
942.2778,3,3,1,1
944.3634,3,8,1,1
946.473,3,0,0,0
948.5837,3,5,0,1
950.6949,3,8,1,0
952.8054,3,9,0,0
954.9152,3,5,1,0
957.0244,3,7,0,0
959.0978,3,9,1,1
961.2072,3,3,0,0
963.3186,3,9,0,0
965.3992,3,7,0,1
967.5099,3,2,0,0
969.6213,3,0,0,0
971.7325,3,5,0,0
973.8417,3,3,0,0
975.9512,3,5,0,0
978.0616,3,2,0,0
980.1721,3,4,0,0
982.313,3,5,1,1
984.4238,3,5,0,0
986.5345,3,5,0,0
988.6454,3,8,0,0
990.7527,3,1,0,0
992.8541,3,5,1,1
994.9653,3,3,0,0
997.0759,3,4,0,0
999.1855,3,1,0,0
1001.253,3,8,0,1
1003.363,3,5,0,0
1005.47,3,3,0,0
1007.581,3,6,0,0
1009.691,3,4,0,0
1011.801,3,4,0,0
1013.844,3,6,1,1
1015.953,3,7,0,0
1018.063,3,2,0,0
1020.173,3,1,0,0
1022.283,3,3,0,0
1024.392,3,2,1,0
1026.461,3,1,1,1
1028.571,3,5,0,0
1030.682,3,7,0,0
1032.784,3,5,0,1
1034.863,3,4,0,1
1036.974,3,8,0,0
1039.086,3,5,1,0
1041.197,3,2,0,0
1043.308,3,2,0,0
1045.425,3,5,1,0
1047.535,3,6,0,0
1049.645,3,2,1,0
1051.757,3,8,0,0
1053.816,3,2,0,1
1055.927,3,2,1,0
1058.036,3,8,1,1
1060.174,3,2,1,1
1062.272,3,2,1,1
1064.381,3,7,0,0
1066.491,3,6,0,0
1068.638,3,2,1,1
1070.726,3,7,1,1
1072.813,3,6,1,1
1074.923,3,4,0,0
1077.066,3,7,1,1
1079.135,3,6,1,1
1081.246,3,6,0,0
1083.287,3,7,1,1
1085.397,3,1,0,0
1087.506,3,8,0,0
1089.616,3,3,0,0
1091.693,3,1,1,1
1093.804,3,7,0,0
1095.914,3,3,1,0
1098.022,3,2,0,0
1100.163,3,7,1,1
1102.274,3,5,0,0
1104.385,3,1,0,0
1106.461,3,7,1,1
1108.581,3,5,1,1
1110.691,3,7,0,0
1112.802,3,8,0,0
1114.913,3,8,0,0
1117.024,3,2,0,0
1119.133,3,3,0,0
1121.244,3,5,0,0
1123.355,3,1,0,0
1125.436,3,5,0,1
1127.548,3,6,0,0
1129.661,3,5,0,1
1131.772,3,8,0,0
