t_sec,O11_muM,O12_muM,O21_muM,O23_muM,O32_muM,O33_muM,O34_muM,O42_muM,O44_muM,O45_muM,O53_muM,O54_muM,O56_muM,O64_muM,O65_muM,O66_muM,O75_muM,O77_muM,O86_muM,O87_muM,D11_muM,D12_muM,D21_muM,D23_muM,D32_muM,D33_muM,D34_muM,D42_muM,D44_muM,D45_muM,D53_muM,D54_muM,D56_muM,D64_muM,D65_muM,D66_muM,D75_muM,D77_muM,D86_muM,D87_muM
0.03705925,0.4327575,0.5757505,-0.2286012,-0.4982446,0.4295155,-0.1027199,-2.308095,1.826415,0.4912807,3.525927,-0.4837893,-2.455462,0.02840972,-2.145097,3.840705,-0.1362944,2.619138,-3.532662,1.286075,-0.2547397,0.720533,0.9859584,0.7691417,0.945329,0.978219,0.5883113,-0.0546725,0.6751957,1.327869,0.4097186,0.5798482,0.3747891,0.3517152,0.09365035,-0.2552034,0.2916127,1.54044,-1.001474,1.191434,1.094121
0.1650585,0.52885,0.6651889,-0.1566614,-0.4822602,0.4150817,-0.06503294,-2.299797,1.053455,1.258988,0.9332381,-0.5045217,-2.474025,0.04210626,-2.205367,0.1241685,-0.1386676,2.803735,-3.589949,1.283129,-0.2858834,0.7207921,0.9792717,0.7738693,0.9501843,0.979718,0.5983249,-0.04241992,1.184779,0.731342,4.081729,0.5878568,0.3744617,0.3521335,0.1026353,3.605952,0.2980148,1.388137,-1.009729,1.191566,1.087608
0.2930578,0.5428049,0.7257795,-0.1566439,-0.4941917,0.5280513,-0.07615625,-2.298685,0.9453768,1.107121,3.544126,-0.5568621,-2.494416,0.03522033,-2.263149,2.238169,-0.1767147,2.726479,-3.801132,1.227853,-0.3986494,0.724436,0.9735305,0.7752535,0.9456661,0.9617298,0.5994172,-0.04660596,1.335882,0.6888864,2.307113,0.5846398,0.3747019,0.3563961,0.09100685,0.7067534,0.297801,1.283684,-1.032471,1.191426,1.095873
0.4210571,0.4491425,0.6898307,-0.2921708,-0.6470543,0.4522387,-0.2030282,-2.453285,1.89363,1.50355,6.060279,-0.7195871,-2.64265,-0.06997807,-2.473998,1.966252,-0.2929471,2.347767,-4.257039,1.126839,-0.6864988,0.7166418,0.9775539,0.7714233,0.9426981,0.985507,0.5901177,-0.05462277,0.3073884,0.549569,0.6537462,0.5728396,0.3720767,0.3492147,0.08778445,1.161465,0.2962177,1.546316,-1.061635,1.198633,1.101868
0.5490564,0.2691273,0.5302443,-0.4346525,-0.8562185,0.2270977,-0.3922342,-2.651947,2.309274,1.884267,1.920221,-0.9582806,-2.842577,-0.1959782,-2.688437,1.590439,-0.4234883,2.284461,-4.618414,1.070094,-0.816864,0.6992388,0.9929416,0.7655424,0.9215412,1.003146,0.5771709,-0.06255905,-0.4035207,0.3682918,1.401695,0.5699887,0.3652052,0.3441868,0.08186518,2.865448,0.291416,1.45304,-1.082335,1.195085,1.063598
0.6770557,0.2736487,0.4616047,-0.3791459,-0.7571257,0.2210364,-0.2845341,-2.58978,1.965487,0.9054071,8.138945,-0.6046035,-2.587114,-0.040307,-2.254,3.514177,-0.1800252,2.27577,-3.632358,1.316366,-0.2372242,0.7117085,0.9665031,0.7625296,0.9103591,0.9936818,0.5815852,-0.05708858,0.009579352,0.8571177,-2.418661,0.580405,0.3546608,0.3507352,0.09078185,0.6166139,0.289483,1.675114,-1.003767,1.19316,1.068797
0.805055,0.5927114,0.5771798,-0.1121027,-0.5079697,0.4374157,-0.01217793,-2.292771,2.441725,0.5277697,3.588408,-0.5465478,-2.509681,0.02347463,-2.213288,-1.983613,-0.1175057,2.532109,-3.717407,1.30448,-0.3210682,0.7378348,0.9884938,0.7660857,0.9162566,0.890968,0.6246557,-0.04849439,-0.7104678,1.024185,1.75886,0.5920612,0.3411322,0.3515395,0.08399537,3.021667,0.3048817,1.535058,-1.015461,1.188969,1.095465
0.9330542,0.543667,0.629773,-0.1094347,-0.558667,0.3384085,-0.03583977,-2.300781,2.220076,0.9177203,4.032476,-0.5496787,-2.534756,0.03907834,-2.246515,2.289333,-0.1174332,2.611115,-3.730866,1.302646,-0.3259482,0.7292289,0.9346337,0.7661119,0.8973764,0.9051639,0.6242617,-0.06585045,0.09019224,0.9600461,2.949256,0.5899389,0.3374658,0.3514842,0.08689149,3.072181,0.3061252,1.599292,-1.010053,1.189163,1.088968
1.061054,0.5177278,0.5923368,-0.1476573,-0.6272043,0.4121159,-0.1017544,-2.360211,1.788229,1.008806,4.66314,-0.6364765,-2.603758,0.007067981,-2.359051,2.969805,-0.1873207,2.52635,-3.996516,1.231568,-0.4782501,0.7219787,0.9608908,0.7649006,0.8951513,0.8646244,0.6190191,-0.06557127,0.4765831,0.8296992,1.35831,0.5809306,0.348394,0.3454277,0.08151937,-1.090211,0.3042085,1.54332,-1.041111,1.191845,1.093829
1.189053,0.4279978,0.5258399,-0.3182134,-0.780706,0.1725738,-0.2423109,-2.552622,1.36376,0.9962692,2.054978,-0.830865,-2.716784,-0.1116007,-2.525118,5.463667,-0.2991381,2.53018,-4.376504,1.145169,-0.6903077,0.721846,0.9534405,0.7487583,0.8871559,0.9030092,0.6064427,-0.06894523,0.9950006,0.8804664,2.525161,0.5790571,0.3465362,0.3449477,0.07432701,1.950443,0.298876,1.533741,-1.0729,1.201459,1.095699
