t_sec,nBack,number,expectedResponse,actualResponse
164.4605,0,6,0,0
166.5704,0,1,0,0
168.6816,0,1,0,0
170.7631,0,0,1,1
172.8783,0,6,0,0
174.9652,0,0,1,1
177.0928,0,0,1,1
179.2023,0,8,0,0
181.3139,0,3,0,0
183.4251,0,3,0,0
185.5314,0,0,1,1
187.6426,0,2,0,0
189.7541,0,7,0,0
191.8645,0,3,0,0
193.9201,0,0,1,1
196.0308,0,5,0,0
198.1415,0,5,0,0
200.2485,0,0,1,1
202.3587,0,9,0,0
204.4812,0,0,1,1
206.5414,0,0,1,1
208.6248,0,0,1,1
210.7355,0,5,0,0
212.8776,0,0,1,1
214.9877,0,9,0,0
217.0986,0,2,0,0
219.2096,0,5,0,0
221.3204,0,7,0,0
223.4347,0,0,1,1
225.5461,0,7,0,0
227.6555,0,1,0,0
229.7662,0,5,0,0
231.8772,0,8,0,0
233.9898,0,9,0,0
236.104,0,1,0,0
238.2122,0,4,0,0
240.32,0,0,1,1
242.4009,0,0,1,1
244.5108,0,5,0,0
246.6221,0,1,0,0
248.7307,0,3,0,0
250.8401,0,8,0,0
252.9496,0,5,0,0
255.0072,0,0,1,1
257.1191,0,7,0,0
259.2299,0,7,0,0
261.353,0,0,1,1
263.4636,0,6,0,0
265.573,0,8,0,0
267.6835,0,1,0,0
269.8214,0,0,1,1
271.9334,0,3,0,0
274.0439,0,3,0,0
276.1566,0,6,0,0
278.2663,0,1,0,0
280.3757,0,6,0,0
282.5092,0,0,1,1
284.6345,0,0,1,1
286.7461,0,4,0,0
288.8455,0,0,1,1
290.9587,0,7,0,0
293.0702,0,5,0,0
295.153,0,0,1,1
297.2077,0,0,1,1
299.3199,0,7,0,0
301.3694,0,0,1,1
303.4815,0,8,0,0
305.5942,0,7,0,0
307.7018,0,5,0,0
309.8119,0,7,0,0
311.8528,0,0,1,1
313.9555,0,0,1,1
316.083,0,0,1,1
318.1935,0,8,0,0
320.3043,0,1,0,0
322.415,0,1,0,0
324.5272,0,1,0,0
326.6392,0,4,0,0
328.748,0,0,1,1
330.8571,0,5,0,0
333.0033,0,0,1,1
335.1145,0,2,0,0
337.226,0,7,0,0
339.3297,0,0,1,1
341.4743,0,0,1,1
343.5884,0,0,1,1
345.6978,0,5,0,0
347.8066,0,8,0,0
349.9169,0,5,0,0
352.0539,0,0,1,1
354.1849,0,0,1,1
356.2947,0,3,0,0
358.4138,0,0,1,1
360.4927,0,0,1,1
362.5396,0,0,1,1
364.6721,0,0,1,1
366.7807,0,7,0,0
368.8896,0,4,0,0
370.9998,0,1,0,0
373.1096,0,5,0,0
405.3564,1,6,0,0
407.4668,1,0,0,0
409.5801,1,0,1,1
411.6891,1,2,0,0
413.8,1,8,0,0
415.9109,1,3,0,0
418.0202,1,5,0,0
420.0736,1,5,1,1
422.1847,1,2,0,0
424.2535,1,2,1,1
426.367,1,6,0,0
428.4777,1,3,0,0
430.5811,1,3,1,1
432.6921,1,4,0,0
434.8021,1,8,0,0
436.9086,1,5,0,0
439.0161,1,9,0,0
441.1325,1,9,1,1
443.2458,1,5,0,0
445.3569,1,0,0,0
447.4844,1,0,1,1
449.5937,1,8,0,0
451.6521,1,8,1,1
453.7372,1,8,1,1
455.8484,1,4,0,0
457.9584,1,3,0,0
460.0696,1,8,0,0
462.1787,1,0,0,0
464.2897,1,8,0,0
466.4,1,6,0,0
468.5107,1,8,0,0
470.621,1,5,0,0
472.7098,1,5,1,1
474.8578,1,5,1,1
476.9695,1,3,0,0
479.0796,1,4,0,0
481.1573,1,4,1,1
483.2688,1,3,0,0
485.3794,1,2,0,0
487.4907,1,8,0,0
489.5439,1,8,1,1
491.605,1,8,1,1
493.7162,1,6,0,0
495.8267,1,2,0,0
497.936,1,2,1,1
500.0613,1,2,1,1
502.1734,1,3,0,0
504.2531,1,3,1,1
506.3412,1,3,1,1
508.451,1,6,0,0
510.5608,1,9,0,0
512.672,1,4,0,0
514.783,1,2,0,0
516.8928,1,1,0,0
518.9293,1,1,1,1
521.0239,1,1,1,1
523.1426,1,1,1,1
525.254,1,5,0,0
527.3641,1,3,0,0
529.4742,1,5,0,0
531.5834,1,2,0,0
533.6786,1,2,1,1
535.8088,1,2,1,1
537.918,1,3,0,0
540.0265,1,7,0,0
542.1369,1,5,0,0
544.2491,1,3,0,0
546.3593,1,5,0,0
548.4684,1,6,0,0
550.5783,1,8,0,0
552.6871,1,5,0,0
554.7962,1,2,0,0
556.9061,1,7,0,0
558.9916,1,7,1,1
561.104,1,2,0,0
563.2148,1,7,0,0
565.3252,1,4,0,0
567.4334,1,7,0,0
569.5446,1,2,0,0
571.6521,1,2,1,1
573.7616,1,9,0,0
575.8731,1,6,0,0
577.9858,1,7,0,0
580.0961,1,6,0,0
582.2073,1,2,0,0
584.3227,1,2,1,1
586.3766,1,2,1,1
588.4854,1,6,0,0
590.565,1,6,1,1
592.6765,1,1,0,0
594.7687,1,1,1,1
596.8804,1,8,0,0
598.9158,1,8,1,1
601.027,1,2,0,0
603.1365,1,2,1,0
605.2327,1,2,1,1
607.361,1,2,1,1
609.432,1,2,1,1
611.5414,1,8,0,0
613.6505,1,4,0,0
645.8919,2,2,0,0
648.0031,2,4,0,0
650.1346,2,2,1,1
652.2422,2,1,0,0
654.3322,2,2,1,1
656.4418,2,4,0,0
658.5507,2,4,0,0
660.6611,2,3,0,0
662.7725,2,8,0,0
664.882,2,5,0,0
666.993,2,7,0,0
669.1031,2,8,0,0
671.1533,2,7,1,1
673.2634,2,3,0,0
675.3727,2,3,0,0
677.4834,2,5,0,0
679.5921,2,4,0,0
681.7035,2,8,0,0
683.8107,2,4,1,1
685.92,2,8,1,0
688.0286,2,6,0,0
690.1376,2,4,0,0
692.202,2,6,1,1
694.3096,2,4,1,0
696.4186,2,2,0,0
698.5452,2,4,1,1
700.6566,2,2,1,0
702.7665,2,3,0,0
704.8771,2,7,0,0
706.9891,2,5,0,0
709.1008,2,0,0,0
711.2106,2,9,0,0
713.3199,2,6,0,0
715.4316,2,1,0,0
717.5023,2,6,1,1
719.6117,2,3,0,0
721.7232,2,6,1,0
723.8328,2,5,0,0
725.9445,2,7,0,0
728.0541,2,6,0,0
730.1645,2,2,0,0
732.2747,2,5,0,0
734.4059,2,2,1,1
736.5164,2,6,0,0
738.6288,2,3,0,0
740.7556,2,6,1,1
742.8992,2,3,1,1
745.0091,2,0,0,0
747.1184,2,5,0,0
749.2308,2,8,0,0
751.3863,2,5,1,1
753.5241,2,8,1,1
755.6148,2,5,1,1
757.7259,2,7,0,0
759.8118,2,5,1,1
761.8622,2,7,1,1
763.9714,2,2,0,0
766.0795,2,5,0,0
768.1597,2,2,1,1
770.2067,2,5,1,1
772.3168,2,6,0,0
774.4285,2,0,0,0
776.5383,2,7,0,0
778.6127,2,0,1,1
780.7232,2,8,0,0
782.8377,2,5,0,0
784.9034,2,8,1,1
787.0138,2,1,0,0
789.1238,2,7,0,0
791.2361,2,4,0,0
793.3615,2,4,0,0
795.4697,2,3,0,0
797.5799,2,3,0,0
799.6909,2,9,0,0
801.7618,2,3,1,1
803.8723,2,8,0,0
805.9825,2,6,0,0
808.0437,2,8,1,1
810.1646,2,6,1,1
812.2752,2,9,0,0
814.423,2,6,1,1
816.5338,2,7,0,0
818.684,2,6,1,1
820.7934,2,5,0,0
822.8865,2,6,1,1
824.9967,2,6,0,0
827.107,2,0,0,0
829.2233,2,5,0,1
831.3333,2,0,1,0
833.4426,2,2,0,0
835.5547,2,4,0,0
837.6407,2,2,1,1
839.7543,2,4,1,1
841.8649,2,1,0,0
843.9754,2,5,0,0
846.1075,2,1,1,1
848.2471,2,5,1,1
850.368,2,1,1,1
852.4786,2,0,0,0
854.5781,2,1,1,1
886.8275,3,6,0,0
888.9368,3,8,0,0
891.0476,3,9,0,0
893.1381,3,6,1,1
895.2211,3,8,1,1
897.3506,3,9,1,1
899.4586,3,8,0,0
901.5701,3,1,0,0
903.6826,3,7,0,0
905.7922,3,9,0,0
907.9024,3,5,0,0
910.0112,3,2,0,0
912.0541,3,5,0,1
914.1624,3,6,0,0
916.2714,3,6,0,0
918.3938,3,5,1,1
920.5034,3,8,0,0
922.613,3,6,1,0
924.7235,3,0,0,0
926.8572,3,8,1,1
928.968,3,6,1,0
931.0784,3,0,1,0
933.1888,3,8,1,0
935.2548,3,6,1,1
937.3615,3,8,0,0
939.4703,3,8,1,0
941.5782,3,6,1,0
943.6868,3,6,0,0
945.7975,3,3,0,0
947.9089,3,9,0,0
950.0219,3,3,0,0
952.131,3,1,0,0
954.2402,3,5,0,0
956.3497,3,6,0,0
958.4606,3,2,0,0
960.5683,3,5,1,0
962.7167,3,5,0,1
964.8272,3,8,0,0
966.9394,3,7,0,0
969.0491,3,5,1,0
971.1585,3,2,0,0
973.2061,3,5,0,1
975.3331,3,7,0,1
977.4424,3,2,1,1
979.5519,3,5,1,0
981.6631,3,5,0,0
983.7741,3,7,0,0
985.8496,3,5,1,1
987.9286,3,5,1,1
990.0414,3,7,1,1
992.152,3,8,0,0
994.264,3,7,0,0
996.3735,3,2,0,0
998.4838,3,3,0,0
1000.594,3,3,0,0
1002.63,3,2,1,1
1004.741,3,3,1,0
1006.856,3,7,0,1
1008.966,3,1,0,0
1011.075,3,7,0,0
1013.186,3,7,1,0
1015.276,3,1,1,1
1017.384,3,4,0,0
1019.496,3,7,1,0
1021.607,3,5,0,0
1023.717,3,9,0,0
1025.826,3,7,1,1
1027.935,3,5,1,0
1030.046,3,2,0,0
1032.156,3,8,0,0
1034.267,3,2,0,0
1036.323,3,2,1,1
1038.455,3,8,1,1
1040.578,3,2,1,1
1042.649,3,2,1,1
1044.689,3,8,1,1
1046.8,3,7,0,0
1048.912,3,3,0,0
1051.022,3,8,1,0
1053.131,3,1,0,0
1055.23,3,3,1,1
1057.329,3,8,1,1
1059.393,3,1,1,1
1061.503,3,5,0,0
1063.614,3,1,0,0
1065.725,3,0,0,0
1067.836,3,3,0,0
1069.947,3,1,1,0
1072.057,3,0,1,0
1074.17,3,8,0,0
1076.226,3,1,1,1
1078.335,3,4,0,0
1080.445,3,2,0,0
1082.554,3,2,0,0
1084.664,3,6,0,0
1086.724,3,2,1,1
1088.834,3,3,0,0
1090.996,3,6,1,1
1093.099,3,2,1,1
1095.241,3,3,1,1
