t_sec,nBack,number,expectedResponse,actualResponse
176.0069,0,6,0,0
178.1178,0,1,0,0
180.2373,0,1,0,0
182.4029,0,0,1,1
184.5255,0,6,0,0
186.6209,0,0,1,1
188.7669,0,0,1,1
190.8812,0,8,0,0
192.9946,0,3,0,0
195.1073,0,3,0,0
197.195,0,0,1,1
199.3086,0,2,0,0
201.4206,0,7,0,0
203.5308,0,3,0,0
205.5859,0,0,1,1
207.6996,0,5,0,0
209.8129,0,5,0,0
211.8708,0,0,1,1
213.9809,0,9,0,0
216.0547,0,0,1,1
218.199,0,0,1,1
220.2559,0,0,1,1
222.3683,0,5,0,0
224.4417,0,0,1,1
226.5534,0,9,0,0
228.6647,0,2,0,0
230.7761,0,5,0,0
232.8858,0,7,0,0
235.02,0,0,1,1
237.1299,0,7,0,0
239.2489,0,1,0,0
241.3593,0,5,0,0
243.4721,0,8,0,0
245.5839,0,9,0,0
247.6953,0,1,0,0
249.8071,0,4,0,0
251.9687,0,0,1,1
254.0501,0,0,1,1
256.1605,0,5,0,0
258.2691,0,1,0,0
260.3762,0,3,0,0
262.4883,0,8,0,0
264.601,0,5,0,0
266.6776,0,0,1,1
268.7895,0,7,0,0
270.9009,0,7,0,0
273.0376,0,0,1,1
275.1474,0,6,0,0
277.2571,0,8,0,0
279.3704,0,1,0,0
281.5076,0,0,1,1
283.6169,0,3,0,0
285.7292,0,3,0,0
287.8424,0,6,0,0
289.9596,0,1,0,0
292.0788,0,6,0,0
294.162,0,0,1,1
296.2029,0,0,1,1
298.3128,0,4,0,0
300.4034,0,0,1,1
302.5165,0,7,0,0
304.6284,0,5,0,0
306.683,0,0,1,1
308.7506,0,0,1,1
310.8633,0,7,0,0
312.9987,0,0,1,1
315.1146,0,8,0,0
317.2244,0,7,0,0
319.333,0,5,0,0
321.4418,0,7,0,0
323.5209,0,0,1,1
325.6678,0,0,1,1
327.7816,0,0,1,1
329.8948,0,8,0,0
332.0064,0,1,0,0
334.1185,0,1,0,0
336.2304,0,1,0,0
338.344,0,4,0,0
340.4059,0,0,1,1
342.5198,0,5,0,0
344.6542,0,0,1,1
346.7667,0,2,0,0
348.8821,0,7,0,0
350.984,0,0,1,1
353.1135,0,0,1,1
355.1888,0,0,1,1
357.2997,0,5,0,0
359.4132,0,8,0,0
361.5257,0,5,0,0
363.6485,0,0,1,1
365.7064,0,0,1,1
367.8157,0,3,0,0
369.8531,0,0,1,1
371.9254,0,0,1,1
374.0626,0,0,1,1
376.1297,0,0,1,1
378.2425,0,7,0,0
380.3546,0,4,0,0
382.4672,0,1,0,0
384.5815,0,5,0,0
416.8421,1,6,0,0
418.9585,1,0,0,0
421.074,1,0,1,1
423.1919,1,2,0,0
425.3096,1,8,0,0
427.4237,1,3,0,0
429.534,1,5,0,0
431.6007,1,5,1,1
433.7134,1,2,0,0
435.7698,1,2,1,1
437.8821,1,6,0,0
439.9928,1,3,0,0
442.1065,1,3,1,1
444.2193,1,4,0,0
446.3304,1,8,0,0
448.4428,1,5,0,0
450.5537,1,9,0,0
452.6708,1,9,1,1
454.784,1,5,0,0
456.8947,1,0,0,0
458.9748,1,0,1,1
461.0875,1,8,0,0
463.2045,1,8,1,1
465.2692,1,8,1,1
467.3817,1,4,0,0
469.4926,1,3,0,0
471.6033,1,8,0,0
473.7148,1,0,0,0
475.8247,1,8,0,0
477.9338,1,6,0,0
480.0442,1,8,0,0
482.1553,1,5,0,0
484.2854,1,5,1,1
